,Date Notice Provided to Consumers,Dates of Breach,Name of Entity,Individuals Affected,State Reported
2003,2018-06-15,,ESAManagementLLC-DataBreach,1324 (8 in Indiana),Indiana
2004,2018-09-20,2018-05-09,ESINorthAmericaInc-DataBreach,698 (1 in Indiana),Indiana
2005,2018-08-21,2018-07-26,ExamOne-DataBreach,1 (1 in Indiana),Indiana
2006,2018-03-15,2018-02-12,ExamOne-DataBreach,1 (1 in Indiana),Indiana
2007,2018-10-24,2018-09-11,ExamOne-DataBreach,2 (2 in Indiana),Indiana
2008,2018-07-27,2018-07-07,ExamOne-DataBreach,1 (1 in Indiana),Indiana
2009,2018-01-12,2017-12-27,ExamOne-DataBreach,1 (1 in Indiana),Indiana
2010,,,ExitOneHotelLLC-DataBreach,244 (126 in Indiana),Indiana
2011,,,Experian-DataBreach,Unknown (Unknown in Indiana),Indiana
2012,,,Facebook-DataBreach,Unknown (Unknown in Indiana),Indiana
2013,,,FacebookInc,Unknown (Unknown in Indiana),Indiana
2014,2018-07-19,2018-04-14,FairbanksNorthStarBorough-DataBreach,6346 (9 in Indiana),Indiana
2015,2018-03-02,,FairchildMaddox&Leonidas,2365 (3 in Indiana),Indiana
2016,2018-02-21,2018-01-31,Family&SocialServicesAdministration,1 (1 in Indiana),Indiana
2017,2018-02-12,2018-02-05,Family&SocialServicesAdministration,1 (1 in Indiana),Indiana
2018,2018-05-10,2017-10-01,FareportalInc-DataBreach,880000 (1 in Indiana),Indiana
2019,2018-05-10,2017-10-01,FareportalInc-DataBreach,880000 (1 in Indiana),Indiana
2020,2018-05-15,2018-04-08,FarmCreditServicesofAmerica-DataBreach,114 (1 in Indiana),Indiana
2021,2018-12-11,2018-05-01,FarmerBrosCo-DataBreach,2412 (22 in Indiana),Indiana
2022,2018-05-11,2018-04-26,FarmgirlFlowersInc-DataBreach,1870 (24 in Indiana),Indiana
2023,2018-02-27,2017-08-14,FastHealthCorporation,657529 (16034 in Indiana),Indiana
2024,2018-09-17,2018-09-11,FCCIServicesInc-DataBreach,1 (1 in Indiana),Indiana
2025,2018-02-28,2018-02-20,FeconInc,218 (1 in Indiana),Indiana
2026,2018-09-05,2018-08-30,FederalExpressCorporation-DataBreach,1 (1 in Indiana),Indiana
2027,2018-08-06,2018-04-05,FeldEntertainmentInc-DataBreach,867 (1 in Indiana),Indiana
2028,2018-01-11,2017-11-24,State o. Indiana,348 (2 in Indiana),Indiana
2029,2018-07-16,2018-07-02,FidelityNationalFinancialonbehalfofChicagoTitleCompanyLLC-DataBreach,2 (2 in Indiana),Indiana
2030,2018-05-18,2018-03-31,FirstMerchantsBank-DataBreach,223 (223 in Indiana),Indiana
2031,2018-05-21,2018-04-26,FirstMerchantsBank-DataBreach,5 (5 in Indiana),Indiana
2032,2018-03-28,2018-03-14,FirstMerchantsBank-DataBreach,315 (25 in Indiana),Indiana
2033,2018-08-31,2018-07-13,FirstNationalBankofOmaha-DataBreach,31 (1 in Indiana),Indiana
2034,2018-09-27,2015-08-01,FirstGroupofAmericaInc-DataBreach,73 (3 in Indiana),Indiana
2035,2018-10-05,2018-08-14,FiveBelowInc-DataBreach,3234 (85 in Indiana),Indiana
2036,2018-11-02,2018-05-23,FiveGuysHoldingsInc-DataBreach,19191 (13 in Indiana),Indiana
2037,2018-02-20,2018-01-14,FlemingCountySchools,160 (1 in Indiana),Indiana
2038,2018-02-14,2017-11-21,FlexibleBenefitServiceCorporation,19438 (1098 in Indiana),Indiana
2039,2018-10-05,2018-06-27,FloridaFarmBureauCasualtyInsuranceCompany-DataBreach,4000 (2 in Indiana),Indiana
2040,2018-02-08,2017-11-20,FontainebleauMiamiBeach,158 (2 in Indiana),Indiana
2041,2018-05-31,2018-03-13,FordMotorCompany-DataBreach,1 (1 in Indiana),Indiana
2042,2018-10-25,2018-10-10,ForethoughtLifeInsuranceCompany-DataBreach,16 (1 in Indiana),Indiana
2043,2017-11-14,2017-04-03,Forever21Inc-DataBreach,Unknown (Unknown in Indiana),Indiana
2044,2018-05-23,2018-02-01,FoundationBuildingMaterialsLLC-DataBreach,1246 (31 in Indiana),Indiana
2045,2018-11-19,2017-12-28,FrancescasServicesCorporation-DataBreach,84275 (1682 in Indiana),Indiana
2046,2018-08-13,2018-07-06,FranciscanACOInc-DataBreach,1 (1 in Indiana),Indiana
2047,2018-12-22,2018-10-22,FranciscanAllianceInc-DataBreach,18 (13 in Indiana),Indiana
2048,2018-07-02,2013-02-26,FranciscanHealthIndianapolis-DataBreach,4 (4 in Indiana),Indiana
2049,2018-09-04,2018-04-26,FranciscanHealthIndianapolis-DataBreach,19 (15 in Indiana),Indiana
2050,2018-05-31,2018-04-18,FranciscanHealthIndianapolis-DataBreach,1 (1 in Indiana),Indiana
2051,2018-01-17,2018-01-06,FranciscanHealthIndianapolis,2 (2 in Indiana),Indiana
2052,2018-11-02,2018-09-19,FranciscanPhysicianNetowrkdbaLowellHealthCenter-DataBreach,1 (1 in Indiana),Indiana
2053,2018-11-09,2018-06-20,FranciscanPhysicianNetwork-DataBreach,1 (1 in Indiana),Indiana
2054,2018-05-17,2018-02-15,FranciscanPhysicianNetwork-DataBreach,1 (1 in Indiana),Indiana
2055,2018-06-12,,FranciscanPhysicianNetwork-DataBreach,17 (16 in Indiana),Indiana
2056,2018-06-25,2018-02-02,FranciscanPhysicianNetwork-DataBreach,1 (1 in Indiana),Indiana
2057,2018-11-09,2018-09-24,FranciscanPhysicianNetworkdbaCoolspringHealthCenter-DataBreach,1 (1 in Indiana),Indiana
2058,,,FranciscanPhysicianNetworkDyerFamilyHealthCenter-DataBreach,Unknown (Unknown in Indiana),Indiana
2059,2018-11-30,2018-10-01,FranciscanUniversityofSteubenville-DataBreach,2400 (49 in Indiana),Indiana
2060,2018-05-11,2018-04-13,FranciscanVNSHomeCare-DataBreach,30 (30 in Indiana),Indiana
2061,2018-03-29,2017-09-24,FredUsingerInc-DataBreach,35147 (644 in Indiana),Indiana
2062,2018-12-14,2018-11-12,FreeSpeechSystemsLLC-DataBreach,1290 (21 in Indiana),Indiana
2063,2018-04-02,2018-02-07,FriedrichAirConditioningCo-DataBreach,117 (1 in Indiana),Indiana
2064,,,FrostBank-DataBreach,Unknown (Unknown in Indiana),Indiana
2065,,,FSSAonbehalfofConduent-DataBreach,Unknown (Unknown in Indiana),Indiana
2066,,,FSSAonbehalfofDXC-DataBreach,Unknown (Unknown in Indiana),Indiana
2067,2018-10-01,2018-09-19,FSSAonbehalfofPhoenixDataCorporation-DataBreach,2 (2 in Indiana),Indiana
2068,2018-03-30,2017-06-01,FundingCircleUSAInc-DataBreach,10796 (149 in Indiana),Indiana
2069,2018-08-03,2013-09-01,GallagherBassettServicesInc-DataBreach,1933 (4 in Indiana),Indiana
2070,2018-06-26,2018-04-01,GamePlanAdvisorsIncWoottonFinancialGroup-DataBreach,1286 (2 in Indiana),Indiana
2071,2018-08-30,2018-04-04,GarretsonResolutionGroupInc-DataBreach,1327 (29 in Indiana),Indiana
2072,2018-11-26,2018-09-01,GeneralElectricCreditUnion-DataBreach,280 (5 in Indiana),Indiana
2073,,,GeorgeCorleyWallaceStateCommunityCollege,Unknown (Unknown in Indiana),Indiana
2074,2018-02-15,2018-01-25,GHGGreyhealthGroupLLC,683 (1 in Indiana),Indiana
2075,,,GibsonGeneralHospital-DataBreach,Unknown (Unknown in Indiana),Indiana
2076,2018-10-09,2018-09-07,GivaudanFlavorsCorporationandGivaudanFragrancesCorporation-DataBreach,4200 (21 in Indiana),Indiana
2077,2019-02-08,2018-09-05,GlobalLTInc-DataBreach,1004 (1 in Indiana),Indiana
2078,2018-05-08,2017-12-31,GlobalUniversity-DataBreach,139810 (3018 in Indiana),Indiana
2079,,,GoldenLiving-DataBreach,Unknown (Unknown in Indiana),Indiana
2080,,,GoldleafPartnersServicesInc.,Unknown (Unknown in Indiana),Indiana
2081,2018-12-19,2018-09-28,GoldSilverLLC-DataBreach,3465 (9 in Indiana),Indiana
2082,2018-09-04,2018-08-29,GoodwillofCentralandSouthernIndianaInc-DataBreach,1 (1 in Indiana),Indiana
2083,2018-10-09,2018-09-15,GoodyTickets-DataBreach,259 (3 in Indiana),Indiana
2084,,,GoogleLLC-DataBreach,Unknown (Unknown in Indiana),Indiana
2085,2018-06-15,2017-10-23,GreatBancTrustCompany-DataBreach,10023 (166 in Indiana),Indiana
2086,,,UnknownRespondent,Unknown (Unknown in Indiana),Indiana
2087,2018-10-25,2017-07-07,GS1USInc-DataBreach,78907 (845 in Indiana),Indiana
2088,2018-01-12,2017-06-09,"GuaranteedRate,Inc.",187788 (2610 in Indiana),Indiana
2089,2018-06-12,2017-11-01,GuaranteedRateInc-DataBreach,5956 (60 in Indiana),Indiana
2090,2018-07-20,2018-06-22,GuardianConsumerServiceIncdbaPavasoInc-DataBreach,99 (1 in Indiana),Indiana
2091,2018-03-29,2018-02-21,GuardianLIfeInsuranceCompanyofAmerica-DataBreach,1 (1 in Indiana),Indiana
2092,2018-03-16,2017-11-01,GYAgemniLLC-DataBreach,320 (6 in Indiana),Indiana
2093,2018-10-25,,HairbowCenterLLC-DataBreach,125 (3 in Indiana),Indiana
2094,2018-11-02,2018-09-12,HallStructuredFinance-DataBreach,122 (2 in Indiana),Indiana
2095,2018-01-12,,HallmarkHomeMortgage,2816 (6 in Indiana),Indiana
2096,,,HancockRegionalHospital-DataBreach,Unknown (Unknown in Indiana),Indiana
2097,2018-12-06,2018-08-27,HarleyDavidsonMotorCompanyInc-DataBreach,959 (11 in Indiana),Indiana
2098,2018-08-07,2017-09-15,HasbroInc-DataBreach,2039 (1 in Indiana),Indiana
2099,2018-11-14,2018-08-18,Hatscom,1268 (21 in Indiana),Indiana
2100,2018-05-10,2018-05-02,HaynesFurnitureCompanyIncorporated-DataBreach,109 (1 in Indiana),Indiana
2101,2018-07-12,2018-02-23,HeacockInsuranceGroupLLCandHeacockPayrollLLC-DataBreach,4348 (53 in Indiana),Indiana
2102,2018-04-12,2018-04-03,HealthandHospitalCorporationofMarionCounty-DataBreach,1 (1 in Indiana),Indiana
2103,2018-07-13,2018-07-02,HealthandHospitalCorporationofMarionCounty-DataBreach,1 (1 in Indiana),Indiana
2104,2018-09-04,2018-09-04,HealthandHospitalCorporationofMarionCounty-DataBreach,1 (1 in Indiana),Indiana
2105,2018-11-27,2018-11-13,HealthandHospitalCorporationofMarionCountydbaFranklinMeadows-DataBreach,1 (1 in Indiana),Indiana
2106,2018-06-26,2018-06-01,HealthandHospitalCorporationofMarionCounty-DataBreach,13 (13 in Indiana),Indiana
2107,2018-12-06,2018-11-16,HealthandHospitalCorporationofMarionCountydbaRosewalkVillage-DataBreach,1 (1 in Indiana),Indiana
2108,2018-09-05,2018-08-27,HealthandHospitalCorporationofMarionCounty-DataBreach,1 (1 in Indiana),Indiana
2109,,,HealthandWellnessofCarmel-DataBreach,Unknown (Unknown in Indiana),Indiana
2110,2018-11-08,2018-05-08,HealthAuthorityfortheCityofHuntsville-DataBreach,18156 (18 in Indiana),Indiana
2111,2018-06-04,2017-04-19,HealthCareServiceCorporation-DataBreach,161 (6 in Indiana),Indiana
2112,2018-08-22,2018-07-19,HealthManagementConceptsInc-DataBreach,2583 (1 in Indiana),Indiana
2113,2018-06-12,2018-04-11,HealthEquityInc-DataBreach,23020 (123 in Indiana),Indiana
2114,2018-11-27,2018-09-04,HealthEquityInc-DataBreach,189957 (4468 in Indiana),Indiana
2115,2018-09-14,2015-08-01,HealthFitnessLLC-DataBreach,1148 (128 in Indiana),Indiana
2116,2018-09-21,,HearthmarkLLC-DataBreach,1 (1 in Indiana),Indiana
2117,2018-02-26,2017-11-29,"HeartlandBenefitPlanAdministrators,LLC",55 (1 in Indiana),Indiana
2118,2018-10-25,2018-09-25,HeartlandHotelCorporation-DataBreach,2011 (1 in Indiana),Indiana
2119,2018-07-20,2018-04-20,HellyHansenAS-DataBreach,3817 (10 in Indiana),Indiana
2120,2018-11-02,2018-09-01,HemenwayandBarnes-DataBreach,2116 (1 in Indiana),Indiana
2121,2018-08-22,2018-08-11,HoosierHillsCreditUnion-DataBreach,150 (150 in Indiana),Indiana
2122,2018-08-31,2018-03-01,HopebridgeLLC-DataBreach,23 (18 in Indiana),Indiana
2123,,2018-03-05,HRUInc-DataBreach,35 (Unknown in Indiana),Indiana
2124,2018-06-12,2018-03-05,HRUInc-DataBreach,35 (5 in Indiana),Indiana
2125,2018-11-26,2018-10-29,HSBCBankUSANA-DataBreach,903 (3 in Indiana),Indiana
2126,2018-11-09,2018-10-04,HSBCBankUSANA-DataBreach,6733 (43 in Indiana),Indiana
2127,2018-07-23,2018-06-11,HSBCBankUSANA-DataBreach,935 (2 in Indiana),Indiana
2128,2018-03-07,2018-02-12,HudsonRiverHealthCareInc,1502 (2 in Indiana),Indiana
2129,2018-04-27,2017-07-01,HudsonsBayCompany-DataBreach,Unknown (Unknown in Indiana),Indiana
2130,2018-06-21,2018-06-03,HumanaInc-DataBreach,249 (6 in Indiana),Indiana
2131,2018-09-26,2018-09-18,HumanaInc-DataBreach,6 (1 in Indiana),Indiana
2132,2018-06-04,2018-01-17,HumanaInc-DataBreach,6836 (72 in Indiana),Indiana
2133,2018-09-26,2018-09-18,HumanaInc-DataBreach,6 (1 in Indiana),Indiana
2134,2018-08-28,2018-08-17,HumanaInc-DataBreach,287 (9 in Indiana),Indiana
2135,2018-09-21,2018-08-30,HumanaInc-DataBreach,24 (4 in Indiana),Indiana
2136,2018-02-16,2018-01-17,IBJMediaCorporation,182 (164 in Indiana),Indiana
2137,2018-10-12,2018-09-25,IllinoisAutoElectricCo-DataBreach,177 (46 in Indiana),Indiana
2138,2018-11-02,2018-08-28,ImpactAssetsInc-DataBreach,1216 (11 in Indiana),Indiana
2139,2018-11-26,2018-09-04,ImprivataInc-DataBreach,103 (2 in Indiana),Indiana
2140,2018-11-23,2018-05-11,IndependenceCommunityCollege-DataBreach,4839 (20 in Indiana),Indiana
2141,2018-09-28,2018-06-05,IndependentOfficeProductsandFurnitureDealersAssociation-DataBreach,65 (1 in Indiana),Indiana
2142,2018-07-16,2018-07-13,IndianaBureauofMotorVehicles-DataBreach,1 (1 in Indiana),Indiana
2143,2018-11-08,2018-10-29,IndianaBureauofMotorVehicles-DataBreach,1 (1 in Indiana),Indiana
2144,2018-04-20,,IndianaBureauofMotorVehicles-DataBreach,1 (1 in Indiana),Indiana
2145,2018-03-20,2018-03-08,IndianaBureauofMotorVehicles-DataBreach,1 (1 in Indiana),Indiana
2146,2018-03-16,2018-03-08,IndianaBureauofMotorVehicles-DataBreach,1 (1 in Indiana),Indiana
2147,2018-07-16,2018-07-13,IndianaBureauofMotorVehicles-DataBreach,1 (1 in Indiana),Indiana
2148,2018-12-20,2018-12-19,IndianaBureauofMotorVehicles-DataBreach,1 (1 in Indiana),Indiana
2149,2018-12-12,2018-12-12,IndianaBureauofMotorVehicles-DataBreach,1 (1 in Indiana),Indiana
2150,2018-04-04,2018-03-28,IndianaBureauofMotorVehicles-DataBreach,1 (1 in Indiana),Indiana
2151,2018-07-23,2018-07-10,IndianaBureauofMotorVehicles-DataBreach,3 (3 in Indiana),Indiana
2152,2018-09-04,2018-08-29,IndianaBureauofMotorVehicles-DataBreach,1 (1 in Indiana),Indiana
2153,2018-12-10,2018-12-07,IndianaDepartmentofAdministration-DataBreach,2 (0 in Indiana),Indiana
2154,2018-05-21,2018-04-30,IDEM-DataBreach,1 (1 in Indiana),Indiana
2155,2018-05-21,2018-02-16,IDEM-DataBreach,1 (1 in Indiana),Indiana
2156,2018-01-22,2017-10-09,IDEM-DataBreach,1 (1 in Indiana),Indiana
2157,2018-09-21,2017-10-05,IndianaDepartmentofEnvironmentalManagement-DataBreach,1 (1 in Indiana),Indiana
2158,,2017-09-04,IDEM-DataBreach,1 (1 in Indiana),Indiana
2159,2018-06-12,2018-04-24,IDEM-DataBreach,1 (1 in Indiana),Indiana
2160,2018-03-06,2018-02-13,IndianaDepartmentofWorkforceDevelopment,23 (22 in Indiana),Indiana
2161,2002-01-02,,IndianaDepartmentofWorkforceDevelopment-DataBreach,-2120073 (3094.52 in Indiana),Indiana
2162,2018-12-21,2018-07-31,IndianaDepartmentofWorkforceDevelopment-DataBreach,1 (1 in Indiana),Indiana
2163,2018-12-21,2018-11-12,IndianaDepartmentofWorkforceDevelopment-DataBreach,11 (11 in Indiana),Indiana
2164,2018-08-15,2018-07-27,IndianaDepartmentofWorkforceDevelopment-DataBreach,555 (390 in Indiana),Indiana
2165,,,IndianaHorseRacingCommission,Unknown (Unknown in Indiana),Indiana
2166,2018-08-17,2018-08-17,IndianaPublicRetirementSystem-DataBreach,1 (1 in Indiana),Indiana
2167,2018-09-21,2018-09-18,IndianaStatePersonnelDepartment-DataBreach,2 (2 in Indiana),Indiana
2168,2018-10-24,2018-07-04,IndianaUniversity-DataBreach,1 (1 in Indiana),Indiana
2169,2018-10-09,2018-09-24,IndianaUniversity-DataBreach,22 (27 in Indiana),Indiana
2170,2018-02-21,2018-02-09,IndianaUniversity-DataBreach,1 (1 in Indiana),Indiana
2171,,,IndianaUniversity-DataBreach,Unknown (Unknown in Indiana),Indiana
2172,2018-03-05,2018-01-31,IndianaUniversityHealthInc,92 (7 in Indiana),Indiana
2173,2018-06-11,2018-04-12,IndianaUniversityHealthInc-DataBreach,3 (3 in Indiana),Indiana
2174,2018-11-29,2018-09-21,IndianapolisAirportAuthority-DataBreach,341 (332 in Indiana),Indiana
2175,2018-07-24,2018-06-21,IndianapolisNeighborhoodHousingPartnership-DataBreach,5 (5 in Indiana),Indiana
2176,2018-10-12,2018-10-05,IndianapolisNeighborhoodHousingPartnership-DataBreach,1 (1 in Indiana),Indiana
2177,2018-02-16,2018-02-15,InnovateHR,931 (225 in Indiana),Indiana
2178,2018-02-16,2018-02-15,InnovateHR,931 (225 in Indiana),Indiana
2179,2018-04-13,2017-12-09,InogenInc-DataBreach,29528 (843 in Indiana),Indiana
2180,2018-03-06,2018-01-23,InsightPrivateAdvisorsLLC,55 (2 in Indiana),Indiana
2181,2018-01-23,2017-11-30,InsightSourcingGroup&SpendHQ,123 (2 in Indiana),Indiana
2182,2018-09-17,2018-07-16,InsmedInc-DataBreach,522 (1 in Indiana),Indiana
2183,2018-03-29,2017-12-01,InspireHomeLoansInc-DataBreach,5403 (1 in Indiana),Indiana
2184,2018-04-05,2018-01-25,InstituteforSupplyManagement-DataBreach,246 (3 in Indiana),Indiana
2185,2018-05-18,2018-04-26,InternationalManagementAdvisorsLtd-DataBreach,696 (6 in Indiana),Indiana
2186,2018-10-26,2018-08-09,InternationalSocietyofExplosivesEngineers-DataBreach,133 (2 in Indiana),Indiana
2187,2018-03-06,2017-10-27,"InterstatePlastics,Inc.",1031 (16 in Indiana),Indiana
2188,2018-04-04,2016-01-01,IntervalInternationalInc-DataBreach,1413 (11 in Indiana),Indiana
2189,,2018-05-20,IntuitInc-DataBreach,1 (1 in Indiana),Indiana
2190,,,IntuitInc-DataBreach,7 (7 in Indiana),Indiana
2191,2018-05-15,2018-04-16,IntuitInc-DataBreach,2 (2 in Indiana),Indiana
2192,,,IntuitInc,1 (1 in Indiana),Indiana
2193,,,IntuitInc.,8 (8 in Indiana),Indiana
2194,,2018-03-15,IntuitInc-DataBreach,9 (9 in Indiana),Indiana
2195,,,IntuitInc,11 (11 in Indiana),Indiana
2196,,,IntuitInc.,9 (9 in Indiana),Indiana
2197,,2018-02-13,IntuitInc.,34 (34 in Indiana),Indiana
2198,2018-03-15,2018-01-12,InvacareCorporation-DataBreach,187 (5 in Indiana),Indiana
2199,2018-06-29,2017-10-01,iRemedyHealthcareCompaniesIncformerlyPacquinHealthcareCompaniesInc-DataBreach,390 (10 in Indiana),Indiana
2200,2018-03-15,2017-11-01,IslandOutdoorLLC-DataBreach,979 (29 in Indiana),Indiana
2201,2018-03-07,2018-01-23,ISSSolutionsInc,2295 (10 in Indiana),Indiana
2202,2018-03-14,2017-07-14,IthacaCollege-DataBreach,143 (2 in Indiana),Indiana
2203,2018-06-13,2018-03-08,IthacaCollege-DataBreach,359 (2 in Indiana),Indiana
2204,,,IUHealthMethodistHospital-DataBreach,1 (1 in Indiana),Indiana
2205,2018-08-02,2018-06-27,JESandiferFinancialConsultantsInc-DataBreach,357 (8 in Indiana),Indiana
2206,2018-02-16,2017-12-20,"JemisonInternalMedicine,PC",6229 (3 in Indiana),Indiana
2207,2018-11-12,2018-02-01,JenniferMillerLTD-DataBreach,1050 (11 in Indiana),Indiana
2208,2018-07-09,2018-05-14,JewishFederationofCincinnati-DataBreach,812 (3 in Indiana),Indiana
2209,2018-11-16,2018-08-24,JoAnnJodyHendryx-DataBreach,67 (53 in Indiana),Indiana
2210,,,Jobscience,Unknown (Unknown in Indiana),Indiana
2211,2018-04-04,2017-09-29,JohnYTrent&AssociatesLLC-DataBreach,3348 (10 in Indiana),Indiana
2212,2018-08-28,2018-05-15,JointCommissionResourcesInc-DataBreach,191 (1 in Indiana),Indiana
2213,2018-11-07,2018-10-12,JulepBeautyInc-DataBreach,1150 (13 in Indiana),Indiana
2214,,,JulianSurCPA-DataBreach,Unknown (Unknown in Indiana),Indiana
2215,2018-09-04,2018-09-04,KARAuctionServicesInc-DataBreach,2 (2 in Indiana),Indiana
2216,2018-06-12,2018-03-12,KaskaskiaCollege-DataBreach,659 (6 in Indiana),Indiana
2217,2018-11-09,2018-09-13,KemcoSystemsCoLLC-DataBreach,14 (4 in Indiana),Indiana
2218,2018-03-16,2018-03-16,KHISolutionsInc-DataBreach,1 (1 in Indiana),Indiana
2219,2018-03-29,2018-03-27,KindredHealthcare-DataBreach,1 (1 in Indiana),Indiana
2220,2018-01-26,2018-01-11,KindredHospitalNorthwest,1 (1 in Indiana),Indiana
2221,2018-03-23,2017-07-15,King&AssociatesCPAPC-DataBreach,2009 (4 in Indiana),Indiana
2222,2018-02-14,2018-01-30,KingstonHealthcareCompany,Unknown (Unknown in Indiana),Indiana
2223,2018-05-15,2018-02-15,KirbyandAssociatesPC-DataBreach,494 (1 in Indiana),Indiana
2224,2018-12-03,2018-09-29,KMSFinancialServicesInc-DataBreach,364 (2 in Indiana),Indiana
2225,2018-05-09,2017-02-10,KnapeandVogtManufacturingCompany-DataBreach,1873 (5 in Indiana),Indiana
2226,2018-02-15,,"KPVentures,LLC",5 (2 in Indiana),Indiana
2227,2018-09-10,2018-05-05,KuligAccountingInc-DataBreach,2378 (3 in Indiana),Indiana
2228,2018-06-22,2018-05-01,L'OccitaneIncDBAL'OccitaneenProvence-DataBreach,329 (4 in Indiana),Indiana
2229,2018-07-19,2017-12-07,LAFashionEnterpriseLTD-DataBreach,34097 (5 in Indiana),Indiana
2230,2018-10-08,2018-08-27,LandOLakesInc-DataBreach,1 (1 in Indiana),Indiana
2231,2018-03-28,2018-01-31,LeadershipPlatformAcquisitionCorporation-DataBreach,1095 (8 in Indiana),Indiana
2232,2018-10-04,2018-04-01,LeafFilterNorthLLC-DataBreach,2310 (26 in Indiana),Indiana
2233,2018-05-31,2018-02-21,LehmanRobertsCompany-DataBreach,Unknown (3 in Indiana),Indiana
2234,2018-02-15,2016-06-27,"LendkeyTechnologies,Inc.",6403 (50 in Indiana),Indiana
2235,2018-04-16,2017-11-01,LITaxandPlanningInconbehalfofLITax78Inc-DataBreach,3882 (5 in Indiana),Indiana
2236,2018-11-30,,LibertyMutualInsuranceCompany-DataBreach,1 (1 in Indiana),Indiana
2237,2018-01-11,2018-01-09,LifeTimeInc-DataBreach,15 (1 in Indiana),Indiana
2238,2018-02-05,2018-02-05,LifeskillsInc-DataBreach,246 (1 in Indiana),Indiana
2239,2018-07-09,2018-07-04,LifeSpanInc-DataBreach,91 (1 in Indiana),Indiana
2240,2018-08-28,2016-06-01,LILLEbaby-DataBreach,37000 (873 in Indiana),Indiana
2241,2018-05-01,2018-04-11,LincolnFinancialGroup-DataBreach,18 (1 in Indiana),Indiana
2242,2018-08-29,2018-03-19,LipscombandPittsInsuranceLLC-DataBreach,1592 (5 in Indiana),Indiana
2243,2018-07-06,2018-01-20,LipscombandPittsInsuranceLLC-DataBreach,457 (1 in Indiana),Indiana
2244,2018-10-12,2018-04-01,LiquidityServices-DataBreach,3000 (274 in Indiana),Indiana
2245,2018-12-20,2018-03-18,LiteraMicrosystems-DataBreach,11 (2 in Indiana),Indiana
2246,2018-10-18,2018-09-18,LJCooperCapitalManagementLLCdbaLJCooperWealthAdvisors-DataBreach,1202 (3 in Indiana),Indiana
2247,2018-10-05,2018-09-11,LogansportMemorialHospital-DataBreach,1 (1 in Indiana),Indiana
2248,2018-04-26,,LoneStarAgCredit-DataBreach,1500 (2 in Indiana),Indiana
2249,,,LordandTaylor-DataBreach,Unknown (Unknown in Indiana),Indiana
2250,2018-02-16,2018-02-14,LosAngelesPhilharmonic,2442 (2 in Indiana),Indiana
2251,2018-07-30,2018-07-17,LoyolaUniversityofChicago-DataBreach,Unknown (27 in Indiana),Indiana
2252,2018-08-27,2018-08-06,LPNewburghLLC-DataBreach,1 (1 in Indiana),Indiana
2253,2018-11-17,2018-11-01,LPLFinancialLLC-DataBreach,270000 (4551 in Indiana),Indiana
2254,2018-04-10,2018-02-20,LPLFinancialLLC-DataBreach,297 (1 in Indiana),Indiana
2255,2018-11-21,2018-03-26,LundbergFamilyFarms-DataBreach,201 (2 in Indiana),Indiana
2256,2018-06-07,,LutzandCarrCPAsLLC-DataBreach,1657 (1 in Indiana),Indiana
2257,2018-09-21,2018-07-25,LutzandCompanyPC-DataBreach,1414 (3 in Indiana),Indiana
2258,2018-05-24,2017-09-07,LuxuryRetreats-DataBreach,345 (2 in Indiana),Indiana
2259,2018-10-26,2018-09-26,LyricOperaofChicago-DataBreach,302 (8 in Indiana),Indiana
2260,2018-07-03,2018-04-26,MacysInc-DataBreach,162507 (2075 in Indiana),Indiana
2261,2018-08-17,2018-07-23,MaestroHealthInc,57 (5 in Indiana),Indiana
2262,2018-04-26,2018-02-09,MainLineArts-DataBreach,Unknown (1 in Indiana),Indiana
2263,2018-02-02,2018-01-24,Make-upDesignory,670 (7 in Indiana),Indiana
2264,2018-01-31,2017-12-04,"MakeupGeek,LLC",2385 (30 in Indiana),Indiana
2265,2018-04-30,2018-03-18,MalleysChocolates-DataBreach,3486 (29 in Indiana),Indiana
2266,2018-03-26,2017-02-22,Manduka-DataBreach,64270 (665 in Indiana),Indiana
2267,2018-06-12,2018-04-05,MarionCountyBank-DataBreach,5799 (2 in Indiana),Indiana
2268,2018-05-11,2017-10-17,MaronElectricCompany-DataBreach,274 (17 in Indiana),Indiana
2269,2018-11-30,,MarriottInternationalInc-DataBreach,500000000 (Unknown in Indiana),Indiana
2270,2018-10-08,2018-09-24,MassachusettsMutualLifeInsuranceCompany-DataBreach,2 (2 in Indiana),Indiana
2271,2018-07-20,,MatrixDesignGroupInc-DataBreach,700 (2 in Indiana),Indiana
2272,2018-09-14,2018-04-23,MatrixServiceCompany-DataBreach,321 (1 in Indiana),Indiana
2273,2018-04-27,2017-12-02,McMahanThomsonandAssociates-DataBreach,2677 (15 in Indiana),Indiana
2274,2018-04-23,2018-03-11,MCRInvestorsLLC-DataBreach,6178 (3 in Indiana),Indiana
2275,2018-12-05,2018-01-15,MeadowLakesofMooresvilleLLCdbaMeadowLakes-DataBreach,3 (3 in Indiana),Indiana
2276,2018-06-14,2018-03-22,MedAssociatesInc-DataBreach,276057 (2 in Indiana),Indiana
2277,,,MedShieldInc-DataBreach,1 (1 in Indiana),Indiana
2278,2018-07-10,2018-03-29,MedEvolve-DataBreach,204607 (99 in Indiana),Indiana
2279,2018-03-19,2017-12-22,MedProGroupdbaIndianaPatient'sCompensationFund-DataBreach,36 (36 in Indiana),Indiana
