,Data Stolen,Dates of Breach,Details,Name of Entity,Notice Provided to Consumers,Who's Affected,State Reported
114,Customers who swiped their credit or debit cards for purchases made at approximately 216 Jimmy John’s sandwich stores nationwide. Those cards entered manually and online credit and debit card data was not compromised. Five locations in Wisconsin were reported as locations affected. The list of locations affected can be found here.,"June 16, 2014 – September 5, 2014","The credit and debit card information at issue may include the card number and in some cases the cardholder’s name, verification code, and/or the card’s expiration date. Information entered online, such as customer address, e-mail, and password, remains secure. Jimmy John’s has taken steps to prevent this type of event from occurring in the future, including installing encrypted swipe machines, implementing system enhancements, and reviewing its policies and procedures for its third party vendors. Jimmy John’s is offering identity protection services through AllClear ID to impacted customers. For further information call 855-398-6442 or online. In addition, customers are encouraged to monitor their credit and debit card accounts, and notify their bank if they notice any suspicious activity. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@wisconsin.gov",Jimmy John’s Franchise LLC,"September 24, 2014","On July 30, 2014, Jimmy John’s learned of a possible security incident involving credit and debit card data at some of Jimmy John’s stores and franchised locations by remotely accessing the point-of-sale systems at some corporate and franchised locations between June 16, 2014 and September 5, 2014. The security compromise has been contained, and customers can use their credit and debit cards securely at Jimmy John’s stores. UPDATE (10/29) Signature Systems Inc. is the point-of-sale service used by Jimmy John’s. Signature Systems has confirmed two other Wisconsin businesses were also affected by this breach: Pizzeria Scotty in Milwaukee and Rosati’s in Oconomowoc. A complete list can be found online.",Wisconsin
115,"Credit or debit card number, card expiration date, name, billing address and email address, and possibly Viator account information (email address, encrypted password and Viator ""nickname"")","September 2, 2014","On September 2, 2014 Viator was informed by a payment card service provider that unauthorized charges occurred on a number of their customers' credit cards. Forensic experts and law enforcement have been working to investigate the incident, identify how the systems may have been impacted, and to secure the systems. Approximately 1.4 million Viator customers may have been affected by the compromise. The company is recommending that all affected customers monitor their card activity and report any fraudulent charges to their credit card company. Customers will not be responsible for fraudulent charges to their accounts if they are reported in a timely manner. For extra assurance, Viator is offering free identity protection services, including credit monitoring, for customers in the U.S in Experian's ProtectMyID Alert service. They also are encouraging members to reset their passwords on the Viator site, and on any other sites where they used the same password. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@wisconsin.gov","Viator, Inc.","September 19, 2014",Approximately 1.4 million users who used credit or debit cards to purchase travel on Viator’s website or mobile offerings.Also anyone who created an account on Viator may have had their account information compromised.,Wisconsin
116,Credit/debit card data UPDATE (11/10): email addresses,"April 1, 2014","UPDATE (9/29): Home Depot has confirmed that credit and debit card information of consumers making purchases at its stores nationwide was accessed by hackers beginning on April 1, 2014. However, there is currently no evidence that debit PIN numbers were compromised. Affected US customers may enroll in the AllClear PRO service at no cost to them at any time during the next 12 months. To enroll, customer should go to https://homedepot.allclearid.com/. Additionally, if ID theft repair is required, AllClear can be contacted at 1-855-252-0908 and a dedicated investigator will do the work to recover financial losses, restore your credit, and make sure your identity is returned to its proper condition. UPDATE (11/10): On November 6th, 2014, Home Depot confirmed that 53 million email addresses were also compromised in this breach. Passwords were not affected. Customers who wish to learn more about the breach can contact Home Deport at www.homedepot.com or by calling 1-800-HOMEDEPOT (800-466-3337). If you feel that you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@wisconsin.gov","Home Depot USA, Inc.","September 2, 2014","Customers who used a credit or debit card to make a purchase at Home Depot stores in the US and Canada starting April 1, 2014. UPDATE (11/10): Customers who have an online account with homedepot.com",Wisconsin
117,Credit card data,Unknown,"Dairy Queen reported that it is looking into possible collection of credit/debit card information through malicious software installed on point of sale systems at some of its franchises. Law enforcement has become involved and an investigation on the scope of the issue is being conducted. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@wisconsin.gov",American Dairy Queen Corp.,"August 29, 2014",Customers who used a credit cards or debit cards for purchases at an undisclosed number of locations. Details on how many customers might be affected are unknown at this time.,Wisconsin
118,Banking and Credit Card Information,"August, Exact Dates Unknown","The FBI is conducting an investigation after JP Morgan Chase discovered a possible data breach as a result of a series of complex attacks and network intrusions. No details are yet available on the exact information that was taken or how many customers have been affected. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@wisconsin.gov",JP Morgan Chase & Co,"August 28, 2014",Unknown at this time,Wisconsin
119,"User names, email addresses, passwords","August 5 – 7, 2014","MeetMe, an online social network, reported that information of some user accounts had been hacked during a brief span of 8/5 – 8/7/2014.The information believed to be accessed was user names, email addresses and passwords. No financial information was stolen. The company says the vulnerability has been closed and that affected users were notified to change their user names and passwords. The contact information from the company’s website is listed as Aaron Curtiss, email at press@meetme.com. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@wisconsin.gov","MeetMe, Inc.","August 15, 2014",An undisclosed number of people with MeetMe user accounts.,Wisconsin
120,Credit and debit card payment information,"June 22, 2014 – July 17, 2014","Jewel-Osco reported that an unlawful intrusion to obtain credit and debit card payment information occurred. Some stores in Illinois, Indiana and Iowa were targeted. Third party IT services SUPERVALU is working closely with the store chain to gain a better understanding of the scope of the incident. Appropriate federal law enforcement authorities have also been notified. It has not yet been determined whether any cardholder data was in fact stolen or misused. The intrusion has been contained and the company believes customers can safely use their credit and debit cards in its stores. AB Acquisition LLC, the parent company of Jewel-Osco is offering customers whose cards may have been affected 12 months of complimentary consumer identity protection services through AllClear ID. Customers may visit https://abacquisition.allclearid.com for further information on obtaining the complimentary service, or can call 1-855-865-4449 If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@wisconsin.gov",Jewel – Osco,"August 15, 2014","An undetermined number of customers who used their credit or debit card for payment during the above dates. Only some Jewel-Osco stores, exact locations yet unknown, in Illinois, Indiana and Iowa were affected. Customers of other stores under the operating company, AB Acquisition LLC, were also affected. Albertsons stores in Southern California, Idaho, Montana, North Dakota, Nevada, Oregon, Washington, Wyoming and Southern Utah were impacted. In addition, ACME Markets in Pennsylvania, Maryland, Delaware and New Jersey; and Shaw’s and Star Markets stores in Maine, Massachusetts, Vermont, New Hampshire and Rhode Island were all impacted by this incident.",Wisconsin
121,Social Security Numbers and Call Records,"Between April 9 and April 21, 2014","AT&T revealed that outside attackers — allegedly employees of one of AT&T's service providers — stole personal information on AT&T Mobility customers. AT&T says the stolen information includes Social Security numbers and call records, i.e. details about the date, time, duration and other phone number for every phone call customers make. It is unknown how many AT & T customers are affected. AT & T will be offering one year of free credit monitoring to those affected. Enrollment is conducted online at www.CSID.com/attcustomercare/ or by calling CSID at 877-274-5554 using the CSID ""PIN Code"" shown at the top of the first page of the notification letter they received from AT & T. See letter sent to customers here. Additionally, AT & T recommends that customers change their passwords immediately, and perhaps place a fraud alert on their credit reports. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",AT & T,"June 13, 2014",AT & T Customers,Wisconsin
122,Credit & Debit Card Information,"March 2014 through May 30, 2014","PF Chang’s China Bistro reported a data breach. Restaurant chain P.F. Chang’s China Bistro has confirmed it has suffered a data breach that has exposed an undisclosed number of credit and debit cards used at its restaurants. The company is still in the preliminary stages of their investigation, and they do not yet know which credit or debit cards may be involved. P.F. Chang's has notified the credit card companies and is working with them to identify the affected cards. The company encourages consumers to monitor their accounts and to report any suspected fraudulent activity to their card company.P.F. Chang’s China Bistro has established a dedicated public website, pfchangs.com/security, for guests to receive updates and answers to their questions. If consumers have additional questions, they may also call 1-877-412-7152. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",PF Chang’s China Bistro,"June 10, 2014","Consumers who used their debit and/or credit card at PF Chang’s China Bistro anytime between March 2014 and May 30, 2014.",Wisconsin
123,"Customer names, account passwords, email addresses, physical addresses, phone numbers and birth dates.","Late February, Early March 2014","eBay is requesting that all their users reset their passwords and will begin notifying customers today via email, site communications and other marketing channels. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",eBay,"May 21, 2014","On Wednesday, May 21, 2014 eBay announced that hackers broke into their database and stole user information.",Wisconsin
124,Payment card information: Payment card number and expiration date.,"May 8, 2013 through January 27, 2014","Nationwide arts and crafts chain Michaels Stores Inc. has released information on two separate eight-month-long security breaches at its stores last year may have exposed as many as 3 million customer credit and debit cards; including Wisconsin stores in Janesville, Madison and Middleton. The company discovered evidence confirming that systems of Michael’s stores in the United States and its subsidiary, Aaron Brothers, were attacked by criminals using highly sophisticated malware that had not been encountered previously. Regarding Aaron Brothers, Michaels Stores said it has confirmed that between June 26, 2013 and February 27, 2014, 54 Aaron Brothers stores were affected by this malware, noting that the locations for each affected Aaron Brothers store are listed here. The company’s statement says the attack on Michaels’ targeted ""a limited portion of the point-of-sale systems at a varying number of stores between May 8, 2013 and January 27, 2014."" Affected Michaels and Aaron Brothers customers in the U.S. are being offered identity protection, credit monitoring and fraud assistance services for 12 months at no cost to them. Details of the services are available here. If you have any questions or would like more information, please call us toll-free at 1-877-412-7145, Monday through Saturday, from 8:00 a.m. CT to 8:00 p.m. CT. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.","Michaels Stores, Inc. & Aaron Brothers","January 27, 2014 & April 17, 2014","Approximately 3 million Michael’s Stores customers and approximately 400,000 Aaron Brother’s customers.",Wisconsin
125,Usernames & passwords,"January 31, 2014","Yahoo has announced that it has detected a security breach of some of their email customers. The information accessed was customer user names and passwords. So if you're a Yahoo Mail user, you may be receiving a notification to reset your password. Yahoo didn't say how many accounts were affected, but it is the second-largest webmail provider in the world, with well over a quarter of a billion accounts. Anyone affected should have received a text or email at a backup address saying their password has been reset. If you didn't have a secondary mode of notification attached to your Yahoo Mail account, try to log in — if your password works, you weren't affected, but you should probably change it just in case. If it didn't, you should contact Yahoo and see about getting your access restored. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.","Yahoo, Inc.","January 31, 2014","Yahoo, Inc. email users",Wisconsin
126,"Unity member number, date of birth, city of residence, name of prescribed drug, and date of service, if any.","December 12, 2014",,Unity Health Insurance,"January 31, 2014","41,437 Unity Health Insurance members may have been affected by the breach..",Wisconsin
127,"Approximately 1.1 million customers who shopped at Neiman Marcus between July 16 and October 30, 2013.","July 16 – October 30, 2013","Customers can sign up for free credit monitoring by visiting www.protectmyid.com/nm. For enrollment issues, contact Experian’s ProtectMyID at 1-866-579-2216. Customers who want to take advantage of the free credit monitoring offer must do so by June 15, 2014. For consumers that are concerned about their Neiman Marcus or Bergdorf card, they can call the credit office at 1-800-685-6695. For additional information on this breach, Neiman Marcus has a FAQ section on their website. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Neiman Marcus,"January 10, 2014","Neiman Marcus confirmed Saturday that its customers are at risk after hackers breached the company’s servers and accessed the payment information of those who visited its stores.The company said that the malware had been put into its system and had stolen payment data off cards used from July 16 to Oct. 30. During those months, approximately 1,100,000 customer payment cards could have potentially been visible to the malware capable of fraudulently obtaining payment card information.",Wisconsin
128,Usernames and Phone Numbers,December 2013,"Consumers whose data was included in the leak should change their password and watch for any weird activity on their account. (No passwords were included in the leak)The private messaging app Snapchat has reported a data breach. Security researchers were able to expose basic identifying information on 4.6 million users, connecting their usernames with phone numbers. Although the exposed information isn’t of high security (like a Social Security or credit card number), experts say the breach should still be taken seriously. There is a tool consumers can use to check if their account was compromised; GS Lookup - Snapchat, will ask them to enter only their username. If your account info was compromised, you'll see your phone number (minus the last two digits) on the Web page. If your account wasn't included in the leak, you'll see a ""You're Safe"" message. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Snapchat,"January 1, 2014",Approximately 4.6 million Snapchat users.,Wisconsin
129,"The breach involves the theft of information stored on the magnetic stripe on the backs of credit or debit cards used by consumers in all US Stores. The information involved in this incident included customer name, credit or debit card number, and the card’s expiration date and CVV (three-digit security code).","November 27, 2013 – December 15, 2013","Target says about 40 million credit and debit card accounts may have been affected by a data breach. Target says about 40 million credit and debit card accounts may have been affected by a data breach. The chain said Thursday that the accounts may have been impacted between Nov. 27 and Dec. 15, 2013. Authorities and financial institutions were immediately notified once the company became aware of the breach. They worked with a third-party forensics firm to investigate the matter and it has been identified and resolved. Target Corp. said that customers who made purchases at its U.S. stores during the impacted period and suspected unauthorized activity should call them at 866-852-8680. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Target Corp.,"December 19, 2013","Approximately 40 million customers who made purchases using credit or debit cards at its U.S. stores between November 27 and December 15, 2013.",Wisconsin
130,Website login credentials (usernames) and passwords,"November 24, 2013","Security firms are reporting that hackers have stolen usernames and passwords for nearly two million accounts at Facebook, Gmail, Twitter, LinkedIn, and Yahoo. The security firm, Trustwave believes it was the result of keylogging software that has been capturing passwords of people whose computers were infected. Facebook, LinkedIn and Twitter are now emailing members whose passwords have been compromised. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.","Facebook, LinkedIn, Twitter, Gmail, & Yahoo","December 3, 2013","Approximately two million Facebook, LinkedIn, Twitter, Gmail and Yahoo users.",Wisconsin
131,"Names, addresses, dates of birth, Social Security numbers, and gender. Approximately 6,000 City of Milwaukee employees and 3,000 of their spouses and domestic partners.","October 22, 2013","This incident did not affect all Dynacare patients, but only a group who received testing from Dynacare Laboratories between August and October 2013. As a precaution, Dynacare will begin notifying affected patients on November 18, 2013. They have also established a call center for patients to call with any questions. If you believe you are affected but do not receive a letter by November 30, 2013, please call 1-877-237-4971, Monday through Friday, 8:00 a.m. to 5:00 p.m. Central Time (closed on U.S. observed holidays). Please be prepared to provide the following ten digit reference number when calling: 9691111113. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.","Dynacare Laboratories, Milwaukee","November 16, 2013","On October 22, 2013, Dynacare learned that a flash drive inside a car stolen from a Dynacare employee contained patient information. The theft occurred overnight and was immediately reported to the Milwaukee Police Department the morning of October 22, 2013. After a thorough Investigation, it was determined that the stolen flash drive contained a database with patient demographic information, this included patient names, addresses, dates of birth, Social Security numbers, and gender. No financial information, medical records, or test results were included in the database.",Wisconsin
132,"Patient's name and account number, date(s) of service, and the charges associated with each date of service. The statements also included the name, address and identification number for the guarantor on the account. Other personal information, such as social security number, date of birth, and specific health conditions, were not included in the disclosure.","August 6, 2013","On August 6, 2013 Memorial Hospital of Lafayette County discovered a potential breach of unsecured patient health information involving financial statements that were inadvertently sent to some third parties. While most of the approximately 8,000 notices mailed were sent to the patients themselves or their authorized representatives, in some cases they may have been mailed to third parties who were not authorized to receive the information. If you believe your information may have been disclosed, but did not receive written notice from Memorial Hospital of Lafayette County, please call this toll free number 1-877-615-3759. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Memorial Hospital of Lafayette County,"October 4, 2013",Patients who received care/services at Memorial Hospital of Lafayette County that date back to 2001 through the present.,Wisconsin
133,"Patient name, date of birth, medical record and account numbers, provider and department of service, bed and room number, date and time of service, visit history, complaint, diagnosis, procedures, test results, vaccines, if administered, and medications.","August 27, 2013","St. Mary’s Janesville Hospital has reported a data breach. On August 27, 2013, they received a report that an SSM Health Care laptop was stolen from an employee’s car during a break-in.St. Mary’s states that they have no reason to believe the laptop was stolen to gain access to patient information, or that this information has been accessed or misused in any way. They also state that the computer was configured in such a way that information could not be written to the hard drive but Email information was stored on the hard drive and password protected but not encrypted, which is a violation of St. Mary’s Janesville Hospital policy. St. Mary’s Janesville Hospital has partnered with ID Experts for patient identity monitoring and protection at their expense. Through ID Experts, they have arranged for affected patients to opt for a free one-year identity theft monitoring.St. Mary’s Janesville Hospital posted the notice to its site on October 1, 2013. Click here to view.If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",St. Mary’s Janesville Hospital,"October 1, 2013","They have identified 629 patients who may have been affected and are notifying each of the patients or their guardians by letters mailed September 30, 2013. These patients received care at St. Mary’s Janesville Hospital in the emergency department between January 1 and August 26, 2013.",Wisconsin
134,"Customer names, passwords and payment (debit & credit) card numbers as well as the source code for Adobe products","October 4, 2013","Adobe confirmed that 2.9 million customers have had their private information stolen during a sophisticated cyber attack on its website. The attackers accessed customer names, passwords.and payment card numbers. They also accessed the source code for Adobe products.Adobe has reset the passwords for the customers’ accounts it believes were compromised, and that those customers will receive an email alerting them of the change. Adobe is also recommending as a precaution, that customers who are affected should change their passwords and user information. Adobe has set up a page for customers on how to reset their passwords.For those customers whose debit or credit card information is suspected of being accessed, Adobe is offering a complimentary one-year subscription to a credit monitoring program.If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Adobe,"October 4, 2013",Approximately 2.9 million Adobe customers.,Wisconsin
135,"Name, mailing address, email address, phone number and credit card numbers with expiration dates.","April 25, 2013","On April 25, 2013, Vendini, Inc. detected an unauthorized intrusion into its systems. Personal information that may have been accessed includes name, mailing address, email address, phone number and credit card numbers & expiration dates. The company does not collect credit card security access codes (e.g., CVV, CVV2, PINs), social security numbers, usernames or passwords. For customers requesting more information the company provided the following contact information: 1-800-836-0473, or visit www.vendini.com/infoVendini has also offered a resource guide to those who may have additional questions: https://www.vendini.com/e/a.php?id=1563&v=7efcbbb137 If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.","Vendini, Inc.","May 22, 2013","Vendini provides box office and online ticketing services to hundreds of entertainment venues, which includes tour, casino, sports, and arts organizations across the U.S. and Canada. For those who have used a credit card to make a purchase for an event that was processed through Vendini’s service, their information may have been compromised.",Wisconsin
136,Email addresses and telephone numbers.,"April 26, 2013","A Facebook security bug exposed users’ personal contact information (email or phone number) to other users who were connected to them; the bug has affected 6 million accounts. Facebook’s security team described that the breach is related to the contact list/address book upload feature on the platform. When people used the DYI (Download Your Information) tool, it’s possible that they also received the additional email addresses and phone numbers for their contacts and even people with whom they have no connection. Additionally, no other types of personal or financial information were included and only people on Facebook – not developers or advertisers – have access to the DYI tool. You can review the full message from Facebook’s security blog page here: https://www.facebook.com/notes/facebook-security/important-message-from-facebooks-white-hat-program/10151437074840766 If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Facebook,Sometime in 2012,Approximately 6 million Facebook users had email addresses or telephone numbers shared in a download at least one or two times.,Wisconsin
137,"Name, Social Security Number, Date of Birth, Address, Driver’s License Number, copies of tax information and other government forms that TerraCom is required by law to obtain and use in order to determine applicant eligibility for the Lifeline program.","April 26, 2013","On April 26, 2013, TerraCom learned of a security breach involving unauthorized access to personal data and downloaded files related to over 150,000 individuals. The data was stored on the computer servers of TerraCom’s IT contractor, Call Centers India, Inc. d/b/a VCare Corporation (""VCare"") and belonged to applicants seeking enrollment in the federal Lifeline telephone program administered by the Federal Communications Commission (FCC). Approximately 875 of the 150,000 are Wisconsin residentsTerraCom has initiated immediate corrective action to secure and protect compromised data files and further safeguard the personal data of applicants from future attacks by hackers.TerraCom has mailed notice of the security breach to those persons whose records were individually accessed. Additionally, TerraCom will provide these applicants whose personal information was put at risk with instructions and the opportunity to enroll in a credit bureau monitoring service at no cost to the applicant.A toll free number has been provided to assist applicants whose personal information was accessed about what they should do. (1-855-297-0243)If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.","TerraCom, Inc. (""TerraCom"")","April 26, 2013","The data accessed belonged to 150,000 applicants seeking enrollment in the federal Lifeline telephone program administered by the Federal Communications Commission (FCC). Approximately 875 of the 150,000 are Wisconsin residents.",Wisconsin
138,"Names, birthdates, race, contact information and social security numbers","March 13, 2013","Hackers using an international IP address unlawfully accessed the Kirkwood website on March 13, 2013. Specifically, the hackers gained access to archived application information for approximately 125,000 individuals who applied for college-credit courses from February 2005 through March 13, 2013. This may have included applicant names, birthdates, race, contact information and social security numbers. Those who have been affected by the breach will be notified in writing by Kirkwood administrators. For those who haven’t received a letter, but believe they applied to take Kirkwood college-credit classes between the specified times can contact verify@kirkwood.edu.This breach affects all Kirkwood locations.If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Kirkwood Community College (ADPI),"April 9, 2013","Individuals who applied for college-credit classes between February 25, 2005 and March 13, 2013.",Wisconsin
139,"A computer virus may have allowed an unauthorized person to access an employee of Froedtert Health’s work computer account that contained personally identifiable information (PII) of approximately 43,000 patients.","December 14, 2012","A public notice is available on their website (listed directly below) along with letters that were sent out to those affected--and to clarify, there are three different notices: Froedtert Medical’s website: General Public notice.Patients with questions regarding this breach can contact Froedtert Health: a call-center has been set up to handle these specific calls: 1-855-770-0006; when prompted, customers need to enter 10-digit reference code: 5764020813.Notice to patients whose SSN was on the employee’s computer along with the other PII – Credit Monitoring is being offered for one-year with TransUnion Patients who receive this letter will need to contact TransUnion directly at 1-800-242-5181; when prompted, customers need to say or enter the telephone pass code: 623817.Notice to patients whose PII was on the employee’s computer, but not their SSN – No Credit Monitoring Offered. Patients who receive this letter can contact the call-center at 1-855-770-0006; when prompted, enter the following 10-digit code: 5763020813. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Froedtert Health,"February 13, 2013","Although there was no evidence found that any unauthorized person accessed any personal information or medical records, the expert computer forensics company couldn’t definitively rule out the possibility that the virus was able to obtain information stored in this employee’s work computer account, so they felt it was important to make the public aware of this incident. The file in the employee’s work computer account contained patient information including names, addresses, telephone numbers, dates of birth, medical record numbers, names and health insurers, diagnosis, other clinical information, and in some instances, Social Security Numbers. Financial information was not stored in any files in the employee’s work computer.",Wisconsin
140,,,Details,,,Who’s Affected,Wisconsin
141,"Usernames, email addresses, and encrypted passwords.","February 1, 2013","On Friday, February 01, 2013, Twitter, Inc. announced that it was a target of an attack. The company says 250,000 users may have been affected. The company reports it detected unusual access patterns earlier during the week and found that user information—usernames, email addresses and encrypted passwords for about 250,000 users may have been accessed. Twitter’s director of information security wrote that they discovered one live attack and were able to shut it down while in process; however, their investigation has thus far indicated that the attackers may have had access to this limited user information. Jim Prosser, spokesman for Twitter, the social network known for its 140-character messages, could not speculate on the origin of the attacks as its investigation was ongoing. Prosser also stated that Twitter was working with government and federal law enforcement to track down the source of attacks. For now, he said the company had reset passwords for, and notified every compromised user. For more information about making your Twitter account more secure, go to: https://support.twitter.com/articles/76036-keeping-your-account-secure# . If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.","Twitter, Inc.","February 1, 2013","Approximately 250,000 Twitter users.",Wisconsin
142,"Stolen data may have included name, driver’s license number, social security number and bank account information.","November 29, 2012","On November 29, 2012 the Skagit Valley Casino Resort learned that an incident involving one of its vendors, Bally Technologies, Inc., (""Bally"") may have involved customer’s personal data. Electronic equipment in Bally’s possession in the normal course of business for the purposes of performing services for Skagit Valley Casino Resort was stolen from a Bally employee’s home office and may have contained data of customers.If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Skagit Valley Casino Resort,"December 21, 2012","Individual’s whose information may have been exposed included customers of the Skagit Valley Casino Resort, and/or customers who have been to a casino in Las Vegas or a casino that uses Bally’s as a vendor. Bally Technologies, Inc. (""Bally"") is a slot manufacturing company, their primary technologies include gaming devices for land-based, riverboat and Native American casinos, video lottery and central determination markets.",Wisconsin
143,"Name, Date of Birth and Social Security Number","June 15, 2012 to October 1, 2012","On October 1, 2012. ADPI learned that one of their employees stole information associated with Grady EMS ambulance service and disclosed certain patient account information in connection with a scheme to file false federal tax returns. The accessed account information included names, dates of birth, Social Security numbers and record identifiers.About 900 Grady EMS patients had their information exposed between June 15, 2012 and October 12, 2012.The company sent letters by first class mail, dated November 29, 2012, to affected individuals and has posted a notice on its website with links to information regarding the incident and resources to aid affected individuals.The employee has been apprehended by authorities and was immediately terminated by the company and no longer has access to the company’s system.To help detect possible misuse of the patients’ personal information, the company offered a complimentary one year membership of Experian’s ProtectMyID Alert.Individuals have 90 days to activate this membership, which will then continue for 1 year.An activation code was provided on the letter they received.If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.","Advanced Data Processing, Inc. (ADPI)","November 29, 2012","Individuals whose information may have been exposed included patients who received services from certain ambulance agencies associated with Advanced Data Processing, Inc.",Wisconsin
144,"Names, Social Security Numbers, driver’s license numbers, credit card numbers, and/or personal information.","October 11, 2012","Pinnacle Foods learned that an employee’s laptop was stolen from her home in Clinton, WI on October 11, 2012.Company operations and systems weren’t involved; the breach affected only information residing on the stolen laptop, which was password protected. Personal information of up to 1,818 individuals in up to 13 states, including Mexico may have been affected by a theft of the company’s laptop from an employee’s home. The company isn’t offering any free credit monitoring or identity theft services; however, the company offers a list of steps that affected individuals should follow to protect themselves against identity theft on its website. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.","Pinnacle Foods Group, LLC","November 26, 2012","Individual whose information may have been exposed includes employees, former employees, and employees who applied for employment at Pinnacle’s Darien, Wisconsin location.",Wisconsin
145,"Individual’s Name and a combination of: Social Security number, driver’s license number and/or date of birth and possibly marital status, gender and occupation, and the name and address of their employer.","October 3, 2012","Nationwide Insurance Company confirmed that on October 3, 2012, a portion of their computer network that is used by Nationwide Insurance and Allied Insurance was attacked.On November 2, 2012, Nationwide received confirmation of the identities and addresses of the individuals whose personal information was compromised.Nationwide began sending letters to those affected on November 16, 2012, and is offering free credit monitoring and identity theft protection product for one year as a precaution. Individuals who enroll in this service, offered through Equifax, will be notified of changes to their credit information and will receive $1-million in identity theft insurance with a $0 deductible.Nationwide will remain committed to enhancing its defenses against these kinds of attacks. They promptly reported this criminal attack to law enforcement, including the FBI, who are still investigating the incident.If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Nationwide Insurance Company,"November 16, 2012","Nationwide’s records indicate that the information of some customers and other individuals who received a quote on auto insurance from Nationwide or Allied, either online, via phone or through an agent at some point during the thirteen months prior to the attack on October 3, 2012.",Wisconsin
