,Cause of Breach,Data Stolen,Date Notice Provided to Consumers,Date(s) of Discovery of Breach,Dates of Breach,Entity Address,Entity Type,Individuals Affected,Name of Entity,State Reported
1431,,Discover card account information may have been compromised,2015-10-20 00:00:00,,2015-09-01 00:00:00,,,1(in Maine,Bombassocks.com,Maine
1432,,Discover card account information may have been compromised,2015-10-20 00:00:00,,2015-09-01 00:00:00,,,11(in Maine,Brunswick Hotel & Tavern,Maine
1433,,Discover card account information may have been compromised,2015-10-20 00:00:00,,2015-09-01 00:00:00,,,1(in Maine,Itickets-retail,Maine
1434,,Discover card account information may have been compromised,2015-10-20 00:00:00,,2015-09-01 00:00:00,,,37(in Maine,Mrs. Fields Gifts,Maine
1435,,Discover card account information may have been compromised,2015-10-20 00:00:00,,2015-09-01 00:00:00,,,1(in Maine,Nextep Systems,Maine
1436,,Discover card account information may have been compromised,2015-10-20 00:00:00,,2015-09-01 00:00:00,,,5(in Maine,Trump Intl Hotel & Tow,Maine
1437,,Discover card account information may have been compromised,2015-10-20 00:00:00,,2015-09-01 00:00:00,,,1(in Maine,Wahi Diner,Maine
1438,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",2015-10-22 00:00:00,,1/28/15-8/3/15 (Discovered 9/25/15),,,9(in Maine,"Nobel House Hotels & Resorts, 600 6th Street South, Kirkland, WA 98033",Maine
1439,,Name or other personal identifier in combination with SSN,2015-10-16 00:00:00,,9/18/15 to 9/24/15 (discovered 9/24/15),,,1(in Maine,"N. Stevens Inc., 25 Richardson St,, Portland, ME  04103",Maine
1440,,"Email address and password for shopping cart - used to purchase ABA products, training and conf registrations",2015-10-15 00:00:00,,Discovered 10/1/15,,,Not stated(in Maine,"American Bankers Association, 1120 Connecticut Ave., NW, Washington, DC 20036",Maine
1441,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",2015-10-14 00:00:00,,3/24/15-5/20/15 (6/18/15),,,Unknown at this time(in Maine,"Service Systems Associates, Inc., 4699 Marion Street, Denver, CO 80216",Maine
1442,,"Full name, mailing address, shipping address, phone number, email address, credit card number & CVV code",2015-10-13 00:00:00,,Discovered 6/16/15,,,10(in Maine,"EyeBuy Direct, Inc., 2801 South IH 35, Suite 170, Austin, TX 78741; inquiries@eyebuydirect.com",Maine
1443,,"Name, address, credit and debit card numbers, security codes and expiration dates at the ",2015-10-08 00:00:00,,6/7/15 - 8/24/15 (Discovered 8/24/15),,,40(in Maine,"Samela, Inc., d/b/a NorthShore Care Supply",Maine
1444,,"Name, address & SSN",2015-10-08 00:00:00,,Discovered 7/15/15,,,4(in Maine,Wells Fargo,Maine
1445,,"Name, address and payment card information relating to subscribers to WSJ, MarketWatch or Barron's.",2015-10-09 00:00:00,,Recent incident (no specific date),,,Not stated(in Maine,"Dow Jones,1211 Avenue of the Americas, NY, NY 10038",Maine
1446,,Credit card numbers used for gift card purchases and certain other customer info may have been accessed by unauthorized parties.,2015-10-02 00:00:00,,Since late 2009,,,2(in Maine,www.streetsofnewyork.com,Maine
1447,,Name or other personal identifier in combination with SSN and Driver's license or non-driver ID card number,2015-10-01 00:00:00,,9/14/15 (discovered 9/22/15),,,12952(in Maine,"T-Mobile USA, Inc., 12920 SE 38th Street, Bellevue, WA 98006",Maine
1448,,Name or other personal identifier in combination with SSN,2015-10-01 00:00:00,,8/25/15 (Discovered 9/3/15) ,,,10(in Maine,"Actavis, Inc., 400 Interpace Parkway, Parsippany, NJ 07054",Maine
1449,,"Name & address (although SSNs & email addresses and other sensitive data was contained in the system, it appears the contact information was the focus of the incident)",2015-10-01 00:00:00,,Late 2013 - Early 2014,,,16666(in Maine,"Scottrade, Inc., 700 Maryville Centre Drive, St. Louis, MO 63141",Maine
1450,,Name and debit card information,2015-09-29 00:00:00,,Not given,,,1(in Maine,"Kohl's Department Stores, Inc.",Maine
1451,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",2015-09-28 00:00:00,,April 2015 (Discovered 7/16/15),,,2(in Maine,"Becker & Mayer LLC, 11120 NE 33rd place, Suite 101, Bellevue, WA 98004",Maine
1452,,"Payment card account number, card exp date, security code, and cardholder name",2015-09-25 00:00:00,,5/19/14 - 6/2/15,,,Not specified(in Maine,"Trump Hotel Collection (Trump International Hotel & Tower Las Vegas, 2000 Fashoin Show Dr., Las Vegas, NV 98109 & Trump Int'l Waikiki, 223 Saratoga Rd., Honolulu, HI 96815",Maine
1453,,"Name, address, Scottrade account number and last four digits of SSN",2015-09-25 00:00:00,,July of 2015,,,3(in Maine,"Scottrade Financial Services, Inc., P.O. Box 31759, St. Louis, MO 63131",Maine
1454,,"Employee direct deposit bank account info and W-2 Wage and tax statements which contain name, address, SSN and income info.",2015-09-23 00:00:00,,2015-08-24 00:00:00,,,19(in Maine,"Central Maine Healthcare, 300 Maine Street, Lewiston, ME 04240",Maine
1455,,"name, address, phone number, email address, and payment card information (including card number, security code and expiration date of customers whoe made purchases on mywayphotos.riteaid.com",2015-09-22 00:00:00,,8/20/14 - 7/14/15,,,1674(in Maine,Rite Aid Corporation,Maine
1456,,Name and payment card information including payment card number,2015-09-22 00:00:00,,Not specified,,,1(in Maine,"Bed, Bath & Beyond, Inc.",Maine
1457,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",2015-09-22 00:00:00,,6/3/15 Discovered 8/26/15,,,2(in Maine,www.padlocks4less.com,Maine
1458,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",2015-09-21 00:00:00,,6/19/2014 - 7/15/15 ,,,58(in Maine,"Costco Photo Center, 999 Lake Drive, Issaquah, WA 98027",Maine
1459,,Discover card account information may have been compromised,2015-09-18 00:00:00,,2015-08-01 00:00:00,,,1(in Maine,"Duffy's Management, Inc.",Maine
1460,,Discover card account information may have been compromised,2015-09-18 00:00:00,,2015-08-15 00:00:00,,,1(in Maine,Hard Rock Hotel,Maine
1461,,Discover card account information may have been compromised,2015-09-18 00:00:00,,2015-08-15 00:00:00,,,2(in Maine,Just Suspension,Maine
1462,,Discover card account information may have been compromised,2015-09-18 00:00:00,,2015-08-15 00:00:00,,,1(in Maine,Lightning New York.com,Maine
1463,,Discover card account information may have been compromised,2015-09-18 00:00:00,,2015-08-15 00:00:00,,,1(in Maine,Miche LLC,Maine
1464,,Discover card account information may have been compromised,2015-09-18 00:00:00,,2015-08-15 00:00:00,,,2(in Maine,Monteleon Hotel,Maine
1465,,Discover card account information may have been compromised,2015-09-18 00:00:00,,2015-08-15 00:00:00,,,1(in Maine,MYFREEDOMSMOKES,Maine
1466,,Discover card account information may have been compromised,2015-09-18 00:00:00,,2015-08-15 00:00:00,,,5(in Maine,NEWTON RUNNING COMPANY,Maine
1467,,Discover card account information may have been compromised,2015-09-18 00:00:00,,2015-08-15 00:00:00,,,1(in Maine,Supplementwarehouse.com,Maine
1468,,Discover card account information may have been compromised,2015-09-18 00:00:00,,2015-08-15 00:00:00,,,2(in Maine,Wahoos Fish Tacos South,Maine
1469,,"Name, driver license number, bank account number and/or Social Security Number",2015-09-15 00:00:00,,Discovered on 8/4/15,,,Not given(in Maine,Yapstone,Maine
1470,,"Name, phone number, email address and username and password (if you logged in to a CVSPhoto.com account).",2015-09-11 00:00:00,,"""recently""",,,Not given(in Maine,CVS Photo,Maine
1471,,"Name, address and account number of primary account holders and potentially their secondary signers and/or beneficiaries.",2015-09-03 00:00:00,,Not specified,,,1(in Maine,TD Bank,Maine
1472,,"Name or other personal identifier in combination with SSN and Financial account no. or credit or debit card number, in combination with the security access code, password or PIN for the account",2015-09-09 00:00:00,,12/23/1013 (Discovered 8/5/15),,,Unknown at this time(in Maine,"The Lifetime Healthcare Companies, including its affiliates Excellus BCBS, Lifetime Health Medical Group, Lifetime Benefit Solutions, Lifetime Care, The MedAmerica Companies, and Univera Healthcare, 165 Court Street, Rochester, NY 14647",Maine
1473,,Credit card information and/or account passwords,2015-09-04 00:00:00,,Not specified,,,7(in Maine,"ACE Surgical Supply Co., Inc.                                                                                                                                                                                         ",Maine
1474,,"Personal information including SSN, bank account number and driver's license no.",2015-09-01 00:00:00,,2015-06-03 00:00:00,,,Not specified(in Maine,"Lando Law Firm, LLC",Maine
1475,,"Name, address and SSN",2015-08-31 00:00:00,,Discovered 6/1/15,,,No # specified(in Maine,Hawaii First Federal Credit Union,Maine
1476,,Name or other personal identifier in combination with SSN,2015-08-26 00:00:00,,7/27/15 (discovered 7/28/15),,,5(in Maine,"Sunquest Information Systems, Inc., 250 South Williams Blvd, Tuscon, AZ 85711",Maine
1477,,"Name, address, email address, credit or debit card number, security code and exp date may have been exposed ",2015-08-25 00:00:00,,10/8/13 - 7/16/15. Discovered on 7/15/15,,,1(in Maine,Utah Food Bank,Maine
1478,,Personal information,2015-08-21 00:00:00,,Discovered 8/12/15,,,319(in Maine,"Brunswick Hotel & Tavern, 4 Noble Street, Brunswick, ME ",Maine
1479,,"Name or other personal identifire in combination with financial account number or credit or debit card numer, in combination with the security code, access code, password, or PIN for the account.",2015-08-21 00:00:00,,4/26/15 to 7/10/15 (Breach discovered 8/5/15),,,2(in Maine,"Wm. T. Burnett & Co./STX, 1500 Bush Street, Baltimore, MD 21230",Maine
1480,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",2015-08-20 00:00:00,,7/13/5-8/6/15 (Discovered 8/10/15),,,1(in Maine,"Milk Nursingwear, 1801 Peachtree Street, Suite 300, Atlanta, GA 30309",Maine
1481,,Discover card account information may have been compromised,2015-08-19 00:00:00,,2015-07-01 00:00:00,,,22(in Maine,Aero Grow,Maine
1482,,Discover card account information may have been compromised,2015-08-19 00:00:00,,2015-07-01 00:00:00,,,1(in Maine,Erincondren.com,Maine
1483,,Discover card account information may have been compromised,2015-08-19 00:00:00,,2015-07-01 00:00:00,,,1(in Maine,Illinois Bar and Grill,Maine
1484,,Discover card account information may have been compromised,2015-08-19 00:00:00,,2015-07-01 00:00:00,,,2(in Maine,Usbirthcertificate.com,Maine
1485,,Discover card account information may have been compromised,2015-08-19 00:00:00,,2015-07-01 00:00:00,,,1(in Maine,Charge Anywhere,Maine
1486,,"Names, SSNs, birthdates",8/7/15 f/u to ,,5/29/15 (Discovered 5/30/15),,,228(in Maine,"SterlingBackcheck, 1 State Street Plaza, 24th Floor, New York, NY 10004.",Maine
1487,,Names & SSNs,2015-08-19 00:00:00,,2015-07-21 00:00:00,,,Not Specified(in Maine,Louise Allen of Louise's Bookkeeping Services,Maine
1488,,"Name, address, birthdatre, SSN, banking information, policy no. and some personal health info",2015-08-19 00:00:00,,7/28/2015 (Discovered 7/30/15),,,4(in Maine,"Genworth, Data Security Team, P.O. Box 320, Lynchburg, VA 24505",Maine
1489,,"Name or other personal identifier in combination with SSN and Financial account no. or credit or debit card number, in combination with the security access code, password or PIN for the account",2015-08-18 00:00:00,,7/9/15 (Discovered 7/15/15,,,1(in Maine,"Vewpoint, Inc., 1515 SE Water Avenue, Suite 300, Portland, OR 97214",Maine
1490,,"Name, address and credit card information.",2015-08-18 00:00:00,,2015-08-13 00:00:00,,,254(in Maine,"Web.com Group, Inc. (""Web.com""), 12808 Gran Bay Parkway West, Jacksonville, FL 32258",Maine
1491,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security access code, password, or PIN for the account.",2015-08-17 00:00:00,,6/23/15 (Discovered 7/6/15),,,14(in Maine,"Totally Promotional, 128 W. Market Street, Celina, Ohio 45822",Maine
1492,,"Name, address, credit card number, credit card exp. Date and the CVV code.",2015-08-14 00:00:00,,"6/2/15 - July 10, 2015 (discovered 6/22/15) (consumers started complainiing about 6/28/15 of fraudulent charges on their credit cards)",,,12(in Maine,"Milestone Hospitality Management, LLC, 717 Light Street, Baltimore, ME 21230",Maine
1493,,"Name, SSN, birthdate, address, gender, & other personally identifable information.",Received notice on 8/17/15,,Recently (no specific date or date range),,,No. of Maine residents not specified.(in Maine,"CoWorx Staffing Services, P.O. Box 7130, 1375 Plainfield Avenue, Watchung, NJ 07069",Maine
1494,,"Church ministers' widows' names, bank routing numbers,and bank account numbers retained on an unencrypted server that was not firewall protected.",2015-08-12 00:00:00,,"Discovered December, 2014",,,2(in Maine,"Church of God International Offices, P.O. Box 2430, 2490 Keith Street, NW, Cleveland, TN 37311",Maine
1495,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",2015-08-11 00:00:00,,4/26/15 - 5/5/15 (Discovered 5/18/15),,,1(in Maine,"Newton Running Company, 1375 Walnut Street, #100, Boulder, CO 80302",Maine
1496,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination wit the security code access code, password or PIN for the account.",2015-08-10 00:00:00,,6/3/15 to 7/28/15 (discovered 7/28/15),,,14(in Maine,"Green Wave Scientific, Inc., 2720 Discovery Drive, Raleigh, NC 27616",Maine
1497,,Name or other personal identifier in combination with SSN,2015-08-07 00:00:00,,7/31/15 (Discovered 8/3/15),,,1(in Maine,"Co Staff Services, 29100 Northwestern Highway, Suite 240, Southfield, MI 48034",Maine
1498,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",2015-08-07 00:00:00,,5/28/15 to 6/29/15 (Discovered on 6/29/15),,,1(in Maine,"SMS Hospitality, LLC, 7701 Universal Blvd, Orlando, FL 32819",Maine
1499,,"Email address, Wattpad password, Tumblr username and password, last login IP, and other user profile info provided",2015-08-05 00:00:00,,5/29/15 (discovered 7/6/15),,,7000(in Maine,"WP Technology Inc., d/b/a Wattpad, 36 Wellington Street East, Suite 200, Toronto, Ontario, Ontario, Canada M5E 1C7",Maine
1500,,Name or other personal identifier in combination with SSN,2015-08-03 00:00:00,,5/6/15 (discovered 5/7/15),,,1(in Maine,"Quest Diagnostics, 1290 Walll Street West, Lyndhurst, NJ 07071",Maine
1501,,"Name, SSN, birthdate, ",2015-07-31 00:00:00,,5/29/2015 (became aware of it on 5/30/15,,,Net yet determined(in Maine,"SterlingBackcheck, 1 State Street Plaza, 24th Floor, New York, NY 10004.",Maine
1502,,"Name, account number, property address along with loan and payment details.",2015-07-24 00:00:00,,6/19/2015 (Discovered 6/22/15),,,3(in Maine,HSBC Bank USA National Association,Maine
1503,,"Health information such as name, home address, SSN, username, hashed password, security question and answer, email address, birthdate, health information, health insurance policy info and spousal information (name & potentially birthdate)",2015-07-23 00:00:00,,Supplement to 6/19/15 and 7/15/15 notices,,,5545(in Maine,"Medical Informatics Engineering and NoMoreClipboard, 6302 Constitution Drive, Fort Wayne, Indiana 46804",Maine
1504,,"Name, address, birthdate, SSN, driver license number and other employment-related information. (documents are now secure)",2015-07-23 00:00:00,,6/7/2015 - 6/8/15,,,1(in Maine,YMCA of Greater Pittsburgh,Maine
1505,,"Name or other personal identifier in combination with SSN, Driver's license No. or non-driver ID card no. (loss of theft of device or media)",2015-07-21 00:00:00,,Prior to 6/25/15 (6/25/15),,,2(in Maine,"Richard Berger, CPA, 6239 College Ave., Ste 203, Oakland, CA 94618",Maine
1506,,Health information dated 2/12/15 by Inadvertent disclosure,2015-07-21 00:00:00,,2/17/15 (Discovered 2/2015),,,1(in Maine,"York Hospital Imaging Services, 15 Hospital Drive, York, Maine 03909",Maine
1507,,"Name or other personal identifier in combination with SSN and Financial account no. or credit or debit card number, in combination with the security access code, password or PIN for the account",2015-07-20 00:00:00,,Discovered on 6/16/15,,,9(in Maine,"North Carolina State University (NC State), 304A Holladay Hall, Campus Box 7008, Raleigh, NC 27695",Maine
1508,,Discover card account information may have been compromised,2015-07-17 00:00:00,,2015-06-01 00:00:00,,,1(in Maine,French Lick Resort ,Maine
1509,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with security code, access code, password, or PIN for the account.",2015-07-17 00:00:00,,4/28/15-6/8/15 (Discovered 6/15/15),,,6(in Maine,"Ransomed Heart Ministries, 4965 N. 30th St., Colorado Springs, CO 80919",Maine
1510,,Name or other personal identifier in combination with SSN.,2015-07-17 00:00:00,,9/21/14 (Discovered 5/5/15),,,423(in Maine,"UCLA Health, 757 Westwood Plaza, Los Angeles, CA 90095",Maine
1511,,"Additional covered entity, RediMed also affected by the 6/19/15 incident.  Name, address, username, hashed password, security question and answer, email address, birthdate, health information, insurance policy info, and SSN. (No financial or credit card info was compromised.",2015-07-15 00:00:00,,Update to previous notice of breach Discovered 6/19/2015,,,Not specified(in Maine,"Medical Informatics Engineering, 6302 Constitution Drive, Fort Wayne, Indiana 46804 and NoMoreClipboard (a subsidiary of Medical Informatics Engineering)",Maine
1512,,"Name, address and SSN",2015-07-16 00:00:00,,2003 (Recently informed),,,2(in Maine,"J.P. Morgan Chase Bank, N.A.",Maine
1513,,"Name, address and account no.",2015-07-10 00:00:00,,Recently (no specific date or date range),,,1(in Maine,TD Bank,Maine
1514,,"Name, address, birthdate, health insurance info, SSN, and health status & treatment info",2015-07-10 00:00:00,,1/31/15 (Discovered 6/2/15),,,2(in Maine,Amsterdam Nursing Home Corporation,Maine
1515,,"Combinatio of any two or more of Name, SSN, birthdate, bank account info, tax identification number, employee benefit information, driver license no., dependent info and address",2015-07-10 00:00:00,,Discovered 5/28/15 & confirmed by investigation on 6/11/15,,,1(in Maine,"New Horizons Computer Learning Centers, Inc.; 100 4 Falls Corporate Center, Suite 408, West Conshohocken, PA 19428",Maine
1516,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, password or PIN for the account",2015-07-10 00:00:00,,2/14/15-6/2/15 (Discovered 6/9/15),,,111(in Maine,"Hershey Entertainment and Resorts Company; 27 W. Chocolate Avenue; Hershey, PA 17033",Maine
1517,,Name or other personal identifier in combination with SSN,2015-07-10 00:00:00,,3/2015 (discovered May 2015) ,,,7(in Maine,"Boston University, 1 Silber Way, Boston, MA 02215",Maine
1518,,Names and credit card numbers,2015-07-10 00:00:00,,Beginning around 6/18/14 (Discovered 2/25/15),,,28(in Maine,Mandarin Oriental ,Maine
1519,,Names and SSNs,2015-07-09 00:00:00,,Discovered 6/29/15,,,1(in Maine,"Anheuser-Busch Companies, LLC ",Maine
1520,,"Name, address info, payment card account no., exp date and CCV/CVV",2015-07-09 00:00:00,,5/13/15 to 6/10/15,,,19(in Maine,"Aerogrow International, Inc., 6075 Longbow Drive, Boulder, CO 80301",Maine
1521,,"Name, address, SSN, birthdate and phone number and possibly drug test screening results.",2015-07-07 00:00:00,,2015-06-02 00:00:00,,,2(in Maine,"Latex Construction Company, 1353 Farmer Road NW Conyers, Georgia 30012",Maine
1522,,"Name, address, acct number, transaction history and holdings, on Fidelity.com. Also beneficiaries names, SSNs, birthdates, relationships, and percentage of eligibility.",2015-07-07 00:00:00,,"July 12, 2012 (Discovered 6/27/15)",,,4(in Maine,Fidelity Investments,Maine
1523,,"Employees and their dependents' names, addresses, SSNs and health benefits plan selections and billing information.  In some cases, included driver license no. and financial acct info such as bank acct no.)",2015-07-02 00:00:00,,Between 9/7/14 and 4/25/15Discovered 4/16/15,,,1(in Maine,"FireKeepers Casino Hotel; Battle Creek, Michigan",Maine
1524,,Account passwords,2015-07-06 00:00:00,,5/26/15 (Discovered 5/28/15),,,18(in Maine,"Arkema, Inc.; 900 First Avenue, King of Prussia, PA 19406",Maine
1525,,"Name, address, phone number, and email address",2015-07-06 00:00:00,,Discovered 6/1/15,,,757 (106 of which included SSNs 0r Driver License #s)(in Maine,"Automotive Recovery Services, Inc., d/b/a Vehicle Donation Processing Center",Maine
1526,,"Name, address, SSN, bank account numbers, investment account numbers, health insurance account info, life insurance acct. info, passport numbers, birth certificate info, copy of a Visa, loan acct info and credit card info.",2015-06-30 00:00:00,,Discovered 5/30/15 ,,,2(in Maine,"Thompson Kessler Wiest & Borquist PC, 111 S. W. Columbia Stret, Suite 750, Portland, OR 97201",Maine
1527,,"Name, address, phone number, email address, credit card number, CVV code and exp date",2015-06-24 00:00:00,,Approx. 1/9/15 and some infor Possibly accessible since October 2014,,,4(in Maine,Genius Central,Maine
1528,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",2015-06-23 00:00:00,,10/13/14 (confirmed 4/29/15,,,2(in Maine,"Manchester Hotel Hospitality, LLC; 409 Montbrook Lane, Knoxville, TN 37919",Maine
1529,,Discover card account information may have been compromised,2015-06-23 00:00:00,,"May, 2015",,,1(in Maine,Aspex Pos,Maine
1530,,Discover card account information may have been compromised,2015-06-23 00:00:00,,"May, 2015",,,2(in Maine,Corkys Bbq,Maine
1531,,Discover card account information may have been compromised,2015-06-23 00:00:00,,"May, 2015",,,11(in Maine,Erincondren.com,Maine
1532,,Discover card account information may have been compromised,2015-06-23 00:00:00,,"May, 2015",,,5208(in Maine,Home Depot,Maine
1533,,Name or other personal identifier in combination with SSN and license number or non-driver identification card number,2015-06-25 00:00:00,,5/29/15-6/18/215,,,2(in Maine,"Bank of Manhattan--Mortgage Lending, 2131 Rosecrans Ave., Suite 1100, El Segundo, CA 90245",Maine
1534,,"Name, SSN, payroll deduction amounts ",2015-06-22 00:00:00,,2015-05-13 00:00:00,,,3(in Maine,"Trustmark Mutual Holding Company, 400 field Drive, Lake Forest, Illinois 60045",Maine
1535,,Not specified,2015-06-22 00:00:00,,Late April,,,Not specified(in Maine,"Maine School Management Association, 49 Community Drive, Augusta, Maine 04330",Maine
1536,,"Name, address, username, hashed password, security question and answer, email address, birthdate, health information, insurance policy info, and SSN. (No financial or credit card info was compromised.",2015-06-19 00:00:00,,Discovered on 5/26/15,,,As yet unconfirmed(in Maine,"Medical Informatics Engineering, 6302 Constitution Drive, Fort Wayne, Indiana 46804",Maine
1537,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",2015-06-19 00:00:00,,2/10/15 (discovered 6/2/15),,,14(in Maine,"LC Industries, 4500 Emporer Blvd, Durham, NC 27703",Maine
1538,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",2015-06-19 00:00:00,,"Consumers placing orders 3/26/15 - June 5, 2015 were affected (discovered 5/15/15)",,,140(in Maine,"Dungarees, LLC, 500 East Broadway, Columbia, MO 65201",Maine
1539,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",2015-06-18 00:00:00,,4/1/15-4/30/15 (discovered 5/27/15),,,4(in Maine,"Flora Springs Winery & Vineyards, 1978 West Zinfandel Lane, St. Helena, CA 94574",Maine
1540,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",2015-06-18 00:00:00,,4/1/15-4/30/15 (discovered 5/27/15),,,1(in Maine,"Donelan Family Wines, LLC, 3352-D Coffey Lane, Santa Rosa, CA 95403",Maine
1541,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",2015-06-18 00:00:00,,4/1/15-4/30/15 (discovered 5/27/15),,,5(in Maine,"Charles Krug Winery (C. Mondavi & Family), 2800 Main Street, St. Helena, CA 94574",Maine
1542,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",2015-06-18 00:00:00,,4/1/15-4/30/15 (discovered 5/27/15),,,4(in Maine,"Fisher Vineyard, 6200 St. Helena Road, Santa Rosa, CA 95404 ",Maine
1543,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",2015-06-18 00:00:00,,4/1/15-4/30/15 (discovered 5/27/15),,,9(in Maine,"Corison Winery, 987 St. Helena Way, St. Helena, CA 94574",Maine
1544,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",2015-06-18 00:00:00,,4/1/15-4/30/15 (discovered 5/27/15),,,3(in Maine,"Cain Vinyard & Winery, 3800 Langtry, St. Helena, CA 94574",Maine
1545,,"Name, credit card number, related payment address, and birthdate.",2015-06-15 00:00:00,,Discovered 5/27/15,,,11(in Maine,"Huneeus Vintners, LLC through Missing Link Networks, Inc.",Maine
1546,,Name or other personal identifier in combination with SSN and Driver's license or non-driver ID card number,2015-06-14 00:00:00,,2015-05-14 00:00:00,,,3(in Maine,"Collected Intelligence LLC, 124 Halsey Street, Brooklyn, NY 11216",Maine
1547,,"Name, payment card number, payment address and birthdate.",2015-06-12 00:00:00,,4/1/15-4/30/15 (discovered 5/27/15),,,10(in Maine,"Clif Bar Family Winery & Farm, LLC, 1312 Vidovich Ave., St. Helena, CA 94574",Maine
1548,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",2015-06-12 00:00:00,,4/12/15 (Discovered 5/27/15),,,5(in Maine,"Peter Michael Winery, 12400 Ida Clayton Road, Calistoga, CA 94515",Maine
1549,,Name or other personal identifier in combination with SSN,2015-06-12 00:00:00,,9/2/14 (discovered 5/11/15),,,2(in Maine,"Global Care Delivery, Inc., c/o Mark Bodnar, 391 Las Colinas Blvd. East, Suite 130715; Irving, TX 75039",Maine
1550,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",2015-06-11 00:00:00,,4/1/15-4/30/15 (discovered 5/27/15),,,11(in Maine,"Rombauer Vineyards, Inc., 3522 Silverado Trail, St. Helena, CA 94574",Maine
1551,,"Name, address,& SSN",2015-06-10 00:00:00,,between 5/19/15 and 5/20/15,,,? Doesn't specify(in Maine,"Covanta Projects, LLC, 445 South Street, Morristown, NJ 07960",Maine
1552,,"Name, credit card numbers, payment addresses, and birthdates.","6/5/2015 & June 11, 2015",,discovered on 5/27/15,,,20(in Maine,"Kosta Browne Winery, LLC",Maine
1553,,Name or other personal identifier in combination with SSN,2015-06-03 00:00:00,,Unknown - discovered 2015,,,1(in Maine,"BAE Systems Information and Electronic Systems Integration, Inc., 65 Spit Brook Road, Nashua, NH 03060",Maine
1554,,SSN ,2015-06-04 00:00:00,," Not sure when it started but it ended April 20, 2015 when all relevant passwords were changed",,,1(in Maine,"Akorn, Inc.",Maine
1555,,Name or other personal identifier in combination with SSN and Info regarding credit card type and/or check no. of applicants.,2015-06-04 00:00:00,,3/31/2013 to 3/23/15,,,1(in Maine,"Hartland Dental LLC, 1200 Network Centre Drive., Effingham, IL 62401",Maine
1556,,"Name or other personal identifier in combination with Financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",2015-06-03 00:00:00,,10/15/14-4/27/15 (Discovered5/5/15),,,295(in Maine,"Aerogrow International, Inc., 6075 Longbow Drive, Boulder, CO 80301",Maine
1557,,"Name, address, credit card number, credit card exp. Date and the CVV code.",2015-06-03 00:00:00,,12/15/14 - 4/30/15 (discovered on 5/5/15,,,5(in Maine,Intimacy Mangement Company,Maine
1558,,Name or other personal identifier in combination with SSN,2015-05-29 00:00:00,,4/22/15 (Discovered 5/5/15),,,17(in Maine,"U.S. HealthWorks, 1730 1 St., Sacramento, CA 95821",Maine
1559,,"Name, Credit or debit card number, exp date, verification value and service code. ",5/28/215,,3/6/15 - 4/17/15  (Malware),,,Not specified(in Maine,"Sally Beauty Holdings, Inc. (Sally Beauty), 3001 Colorado Blvd, Denton, TX 76210",Maine
1560,,"Name, address, driver's license numbers, phone numbers, email addresses and usernames and passwords for their Copart.com accounts",2015-05-27 00:00:00,,Discovered 3/31/15,,,229(in Maine,"Copart, Inc.",Maine
1561,,Name or other personal identifier in combination with SSN,2015-05-26 00:00:00,,4/2014-3/2015 (discovered 4/2015),,,1(in Maine,"Unity Recovery Group, Inc., 630 US Highway 1, Floor 4, North Palm Beach, FL 33408",Maine
