"
Organization Name ","
            Date(s) of Breach          ","
Reported Date "
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            02/22/2016          '
b'\nCalpine Corporation ',b'\n02/09/2016 ',b'\n            02/16/2016          '
"b'\nAlliance Health Networks, LLC '",b'\n            n/a          ',b'\n            02/15/2016          '
b'\nMagnolia Health Corporation ',b'\n02/03/2016 ',b'\n            02/12/2016          '
"b'\nThe Brickman Group, Ltd. LLC '",b'\n02/03/2016 ',b'\n            02/10/2016          '
"b'\nBaja Bound Insurance Services, Inc. '",b'\n12/16/2015 ',b'\n            02/08/2016          '
b'\nUniversity of Central Florida ',"b'\n12/30/2015, 01/06/2016 '",b'\n            02/05/2016          '
"b'\nGyft, Inc. '",b'\n10/03/2015 ',b'\n            02/05/2016          '
b'\nIATSE Local 134 ',b'\n01/04/2016 ',b'\n            02/01/2016          '
b'\nTaxSlayer ',"b'\n10/10/2015, 12/21/2015 '",b'\n            01/29/2016          '
"b'\nLandry\xe2\x80\x99s, Inc., Golden Nugget Atlantic City, LLC, Golden Nugget Lake Charles, LLC, GNL Corp., GNLV Corp., and Riverboat Corporation of Mississippi '","b'\n05/04/2014, 12/03/2015 '",b'\n            01/29/2016          '
b'\nNeiman Marcus Group LTD LLC ',b'\n12/26/2015 ',b'\n            01/29/2016          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n06/02/2014 ',b'\n            01/28/2016          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n04/23/2015 ',b'\n            01/27/2016          '
b'\nCounty of San Diego ',b'\n12/17/2015 ',b'\n            01/26/2016          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n11/20/2014 ',b'\n            01/26/2016          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n09/23/2015 ',b'\n            01/26/2016          '
b'\nHealthEquity ',b'\n12/11/2015 ',b'\n            01/25/2016          '
"b'\nRealSelf, Inc. '",b'\n12/25/2015 ',b'\n            01/25/2016          '
b'\nCalifornia Virtual Academies ',b'\n12/09/2015 ',b'\n            01/25/2016          '
"b'\nKicky Pants, Inc.  '","b'\n08/26/2015, 12/26/2015 '",b'\n            01/21/2016          '
b'\nHyatt Hotels Corporation ',b'\n08/13/2015 ',b'\n            01/14/2016          '
b'\nBlue Shield of California ',"b'\n09/15/2015, 12/17/2015 '",b'\n            01/14/2016          '
"b'\nHSBC Bank USA, National Association '","b'\n12/07/2015, 12/08/2015 '",b'\n            01/13/2016          '
b'\nRateMyProfessors.com LLC ',b'\n11/26/2015 ',b'\n            01/12/2016          '
"b'\nJB Autosports, Inc. '","b'\n08/01/2015, 11/09/2015 '",b'\n            01/12/2016          '
"b'\nBlucora, Inc. '",b'\n11/10/2015 ',b'\n            01/12/2016          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n12/21/2014 ',b'\n            01/08/2016          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n03/22/2015 ',b'\n            01/07/2016          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n10/18/2014 ',b'\n            01/07/2016          '
b'\nHillsides ',"b'\n10/10/2014, 11/24/2014, 09/11/2015, 10/19/2015 '",b'\n            12/31/2015          '
b'\nWashington Township Health Care District ',b'\n            n/a          ',b'\n            12/28/2015          '
"b'\nMatson Navigation Company, Inc. '",b'\n            n/a          ',b'\n            12/23/2015          '
b'\nAcclaim Technical Services ',b'\n08/26/2015 ',b'\n            12/23/2015          '
"b'\nDungarees, LLC '",b'\n10/15/2015 ',b'\n            12/22/2015          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n08/07/2014 ',b'\n            12/22/2015          '
"b'\nVTech Electronics North America, LLC '",b'\n11/14/2015 ',b'\n            12/22/2015          '
b'\nCBC Restaurant Corporation ',b'\n            n/a          ',b'\n            12/18/2015          '
b'\nToyota Motor Credit Corporation ',b'\n08/05/2015 ',b'\n            12/15/2015          '
"b'\nSorrento Pacific Financial, LLC '",b'\n            n/a          ',b'\n            12/14/2015          '
b'\nTuneCore ',b'\n            n/a          ',b'\n            12/11/2015          '
b'\nCM Ebar LLC ',b'\n08/12/2015 ',b'\n            12/10/2015          '
"b'\nGeorge Hills Company, Inc. '",b'\n09/03/2015 ',b'\n            12/08/2015          '
b'\nMUJI U.S.A. LIMITED ',b'\n            n/a          ',b'\n            12/07/2015          '
b'\nHolly A Nordhues CPA ',b'\n            n/a          ',b'\n            12/02/2015          '
b'\nKeenan & Associates ',b'\n10/09/2015 ',b'\n            12/01/2015          '
b'\nCottage Health ',"b'\n10/26/2015, 11/08/2015 '",b'\n            12/01/2015          '
"b'\nHilton Worldwide, Inc. '","b'\n11/18/2014, 04/21/2015 '",b'\n            11/24/2015          '
"b'\nStarwood Hotels & Resorts Worldwide, Inc. '",b'\n            n/a          ',b'\n            11/20/2015          '
"b'\nW.W. Grainger, Inc. '",b'\n            n/a          ',b'\n            11/18/2015          '
"b'\nB. Lane, Inc., a Delaware corporation d/b/a Fashion to Figure '",b'\n05/19/2015 ',b'\n            11/13/2015          '
b'\nNoble House Hotels and Resorts ',"b'\n12/29/2014, 08/11/2015 '",b'\n            11/13/2015          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n04/29/2014 ',b'\n            11/12/2015          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n05/05/2008 ',b'\n            11/12/2015          '
b'\nCSAC-EXCESS INSURANCE AUTHORITY ',b'\n09/03/2015 ',b'\n            11/10/2015          '
b'\nCalifornia Department of Motor Vehicle (CA DMV) ',b'\n09/28/2015 ',b'\n            11/06/2015          '
b'\nAvis Budget Group ',b'\n10/02/2015 ',b'\n            11/04/2015          '
b'\nAccuform Signs ',b'\n06/30/2015 ',b'\n            11/02/2015          '
b'\nSTILETTO Solutions ',b'\n09/16/2015 ',b'\n            10/29/2015          '
"b'\nDigital Theatre, LLC '","b'\n04/19/2015, 09/30/2015 '",b'\n            10/28/2015          '
b'\nAmerican Bankers Association ',b'\n09/16/2015 ',b'\n            10/22/2015          '
b'\nNoble House Hotel and Resorts ',"b'\n01/28/2015, 08/03/2015 '",b'\n            10/22/2015          '
b'\nCommunity Catalysts of California ',b'\n08/31/2015 ',b'\n            10/16/2015          '
"b'\nNextBus, Inc. '",b'\n            n/a          ',b'\n            10/16/2015          '
"b'\nScripps Networks, LLC '",b'\n08/08/2015 ',b'\n            10/16/2015          '
"b'\nPeppermill Casinos, Inc.  '","b'\n10/12/2014, 02/16/2015 '",b'\n            10/13/2015          '
"b'\nService Systems Associates, Inc. '","b'\n03/24/2015, 05/20/2015 '",b'\n            10/13/2015          '
b'\nVacaville Housing Authority ',b'\n08/24/2015 ',b'\n            10/09/2015          '
b'\nGlamGlow LLC ',"b'\n05/18/2014, 05/20/2015 '",b'\n            10/08/2015          '
"b'\nSamela, Inc. d/b/a NorthShore Care Supply '",b'\n06/07/2015 ',b'\n            10/08/2015          '
b'\nScottrade ',b'\n            n/a          ',b'\n            10/01/2015          '
"b'\nSchwab Retirement Plan Services, Inc. '",b'\n08/25/2015 ',b'\n            10/01/2015          '
"b'\nT-Mobile USA, Inc. '",b'\n09/14/2015 ',b'\n            10/01/2015          '
b'\nTrump Hotel Collection ',"b'\n05/19/2014, 06/02/2015 '",b'\n            09/25/2015          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n05/19/2014 ',b'\n            09/25/2015          '
b'\nSilverberg Surgical and Medical Group ',b'\n09/10/2013 ',b'\n            09/25/2015          '
b'\nCostco Photo Center ',b'\n06/19/2014 ',b'\n            09/23/2015          '
b'\nRite Aid Corporation  ',b'\n            n/a          ',b'\n            09/22/2015          '
b'\nKindred Transitional Care and Rehabilitation \xe2\x80\x93 Lawton ',b'\n08/31/2015 ',b'\n            09/22/2015          '
"b'\nMolina Healthcare of California, Inc. '",b'\n03/26/2015 ',b'\n            09/18/2015          '
"b'\nT-Bird Restaurant Group, Inc. '",b'\n08/06/2015 ',b'\n            09/17/2015          '
"b'\nJames R. Glidewell, Dental Ceramics, Inc. and its subsidiaries '",b'\n02/28/2015 ',b'\n            09/14/2015          '
"b'\nYapStone, Inc. '",b'\n07/15/2014 ',b'\n            09/11/2015          '
b'\nSutter Medical Foundation ',b'\n04/26/2013 ',b'\n            09/11/2015          '
"b'\nCVS Pharmacy, Inc. '","b'\n06/19/2014, 07/14/2015 '",b'\n            09/11/2015          '
"b'\nThe Lifetime Healthcare Companies, including its affiliates Excellus BlueCross BlueShield, Lifetime Health Medical Group, Lifetime Benefit Solutions, Lifetime Care, The MedAmerica Companies, and Univera Healthcare '",b'\n12/23/2013 ',b'\n            09/09/2015          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n12/30/2014 ',b'\n            09/08/2015          '
b'\nWe End Violence LLC ',b'\n            n/a          ',b'\n            09/04/2015          '
b'\neMinor Incorporated d/b/a/ ReverbNation ',b'\n01/31/2014 ',b'\n            09/02/2015          '
b'\nUniversity of California at Los Angeles ',b'\n07/03/2015 ',b'\n            09/01/2015          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            08/28/2015          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n04/12/2014 ',b'\n            08/26/2015          '
"b'\nROBERT SOPER, M.D. '",b'\n06/27/2015 ',b'\n            08/26/2015          '
"b'\nM&M Automotive Group, Inc. '",b'\n07/27/2015 ',b'\n            08/21/2015          '
b'\nBuyers Protection Group ',b'\n07/19/2015 ',b'\n            08/20/2015          '
"b""\nSterling M Enterprises (dba Lee's Deli) """,b'\n11/03/2014 ',b'\n            08/14/2015          '
b'\nInternet Corporation for Assigned Names and Numbers - ICANN ',b'\n07/31/2015 ',b'\n            08/12/2015          '
b'\nNationstar Mortgage LLC ',b'\n07/27/2015 ',b'\n            08/12/2015          '
b'\nSterlingBackcheck ',b'\n05/29/2015 ',b'\n            08/07/2015          '
b'\nWP Technology Inc.  d/b/a Wattpad  ',b'\n05/29/2015 ',b'\n            08/06/2015          '
"b'\nMama Mio US, Inc. '",b'\n04/28/2015 ',b'\n            08/04/2015          '
"b'\norlantino dyoco, M.D. '",b'\n06/03/2015 ',b'\n            08/03/2015          '
b'\nNorth East Medical Services ',b'\n07/11/2015 ',b'\n            07/31/2015          '
b'\nOrange County Employees Association ',b'\n06/05/2015 ',b'\n            07/31/2015          '
b'\nEast Bay Perinatal Medical Associates ',b'\n06/01/2015 ',b'\n            07/29/2015          '
b'\nGolden 1 Credit Union ',"b'\n04/07/2015, 06/17/2015 '",b'\n            07/27/2015          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n02/01/2015 ',b'\n            07/27/2015          '
"b'\nHSBC Bank USA, National Association '",b'\n06/19/2015 ',b'\n            07/24/2015          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n01/20/2015 ',b'\n            07/24/2015          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            07/22/2015          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n02/15/2011 ',b'\n            07/21/2015          '
"b'\nAtkinson, Andelson, Loya, Ruud & Romo '",b'\n04/23/2015 ',b'\n            07/21/2015          '
b'\nUCLA Health ',b'\n09/21/2014 ',b'\n            07/17/2015          '
"b'\nInsurance Services Office, Inc. '",b'\n            n/a          ',b'\n            07/13/2015          '
b'\nCalifornia Department of Corrections and Rehabilitation ',b'\n            n/a          ',b'\n            07/13/2015          '
"b'\nNew Horizons Computer Learning Centers, Inc. '",b'\n04/04/2015 ',b'\n            07/10/2015          '
b'\nMandarin Oriental ',b'\n06/18/2014 ',b'\n            07/10/2015          '
b'\nAeroGrow International ',"b'\n05/13/2015, 06/10/2015 '",b'\n            07/09/2015          '
b'\nEvans Hotels ',b'\n09/01/2014 ',b'\n            07/08/2015          '
"b'\nAutomotive Recovery Services, Inc. '",b'\n01/12/2015 ',b'\n            07/06/2015          '
b'\nBonita Unified School District ',b'\n06/02/2015 ',b'\n            07/01/2015          '
b'\nDiscover Financial Services ',b'\n04/10/2014 ',b'\n            06/26/2015          '
"b'\nMedical Informatics Engineering and NoMoreClipboard, a wholly owned subsidiary of Medical Informatics Engineering '",b'\n05/07/2015 ',b'\n            06/26/2015          '
b'\nBank of Manhattan\xe2\x80\x94Mortgage Lending  ',b'\n06/12/2015 ',b'\n            06/25/2015          '
b'\nSummit Financial Group ',"b'\n01/01/2015, 02/15/2015 '",b'\n            06/22/2015          '
b'\nTrustmark Mutual Holding Company ',b'\n05/13/2015 ',b'\n            06/22/2015          '
"b'\nDungarees, LLC '","b'\n03/26/2015, 06/05/2015 '",b'\n            06/19/2015          '
b'\nSummers Estate Wines ',b'\n            n/a          ',b'\n            06/18/2015          '
b'\nSpring Mountain Vineyard ',b'\n            n/a          ',b'\n            06/18/2015          '
b'\nSilverado Vineyards ',b'\n            n/a          ',b'\n            06/18/2015          '
b'\nSignorello Estate ',b'\n            n/a          ',b'\n            06/18/2015          '
b'\nRound Pond Estates ',b'\n            n/a          ',b'\n            06/18/2015          '
"b'\nMontefiore Health System, The University Hospital for Albert Einstein College of Medicine '",b'\n01/01/2013 ',b'\n            06/18/2015          '
b'\nRhys Vineyards ',b'\n            n/a          ',b'\n            06/18/2015          '
b'\nRepris Vineyards ',b'\n            n/a          ',b'\n            06/18/2015          '
b'\nPride Mountain Vineyards ',b'\n            n/a          ',b'\n            06/18/2015          '
b'\nPalmaz Vineyards ',b'\n            n/a          ',b'\n            06/18/2015          '
b'\nOutpost Vineyards ',b'\n            n/a          ',b'\n            06/18/2015          '
b'\nMartinelli Winery ',b'\n            n/a          ',b'\n            06/18/2015          '
b'\nLarkmead Vineyards Vinter and Grower ',b'\n            n/a          ',b'\n            06/18/2015          '
b'\nJessup Cellars dba The Good Life Wine Collective ',b'\n            n/a          ',b'\n            06/18/2015          '
b'\nHeitz Wine Cellars ',b'\n            n/a          ',b'\n            06/18/2015          '
b'\nGemstone Vineyards ',b'\n            n/a          ',b'\n            06/18/2015          '
b'\nFlora Springs Winery & Vineyards ',b'\n            n/a          ',b'\n            06/18/2015          '
b'\nCharles Krug Winery (C. Mondavi & Family) ',b'\n            n/a          ',b'\n            06/18/2015          '
b'\nCorison Winery ',b'\n            n/a          ',b'\n            06/18/2015          '
b'\nCain Vineyard and Winery ',b'\n            n/a          ',b'\n            06/18/2015          '
b'\nUniversity of California Irvine Medical Center ',"b'\n06/22/2011, 03/06/2015 '",b'\n            06/17/2015          '
b'\nPeter Michael Winery ',b'\n04/12/2015 ',b'\n            06/12/2015          '
b'\nSan Luis Obispo County Community College District ',b'\n05/31/2015 ',b'\n            06/12/2015          '
"b'\nRombauer Vineyards, Inc. '",b'\n            n/a          ',b'\n            06/11/2015          '
b'\nTurley Wine Cellars ',"b'\n04/01/2015, 04/30/2015 '",b'\n            06/10/2015          '
"b'\nClif Bar Family Winery & Farm, LLC '",b'\n04/01/2015 ',b'\n            06/10/2015          '
"b'\nADP, LLC '","b'\n04/07/2015, 05/18/2015 '",b'\n            06/08/2015          '
"b'\nCalifornia Physicians\xe2\x80\x99 Service, d/b/a Blue Shield of California '",b'\n05/09/2015 ',b'\n            06/05/2015          '
"b'\nGallant Risk & Insurance Services, Inc. '",b'\n04/04/2015 ',b'\n            06/03/2015          '
b'\nAeroGrow International ',"b'\n10/15/2014, 04/27/2015 '",b'\n            06/03/2015          '
b'\nThe Wonderful Company LLC (formerly Roll Global LLC) ',b'\n02/27/2015 ',b'\n            06/01/2015          '
"b'\nGreen Tree Servicing, LLC '",b'\n09/17/2013 ',b'\n            06/01/2015          '
b'\nYP Holdings ',b'\n            n/a          ',b'\n            06/01/2015          '
b'\nU.S. HealthWorks ',b'\n04/22/2015 ',b'\n            05/29/2015          '
b'\nBeacon Health System ',"b'\n11/19/2013, 01/26/2015 '",b'\n            05/29/2015          '
"b'\nSally Beauty Holdings, Inc.  '","b'\n03/06/2015, 04/17/2015 '",b'\n            05/28/2015          '
"b'\nHeartland Payroll Solutions, Inc. '",b'\n02/22/2015 ',b'\n            05/28/2015          '
b'\nCopart Inc. ',b'\n03/31/2015 ',b'\n            05/27/2015          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            05/27/2015          '
"b'\nBlue Spring Partners, LLC '",b'\n04/25/2015 ',b'\n            05/21/2015          '
b'\nCareFirst BlueCross Blueshield ',b'\n06/19/2014 ',b'\n            05/20/2015          '
"b'\nSharon J. Jones, M.D. '",b'\n03/20/2015 ',b'\n            05/19/2015          '
"b'\nThe Pennsylvania State University, College of Engineering '","b'\n09/04/2012, 07/25/2014 '",b'\n            05/18/2015          '
"b""\nHonig's Whistlestop Inc. ""","b'\n03/08/2015, 04/10/2015 '",b'\n            05/11/2015          '
b'\nLongwood Management Corporation ',b'\n02/11/2015 ',b'\n            05/11/2015          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            05/05/2015          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n11/02/2014 ',b'\n            05/01/2015          '
b'\nHard Rock Hotel & Casino ',"b'\n09/03/2014, 04/02/2015 '",b'\n            04/30/2015          '
"b'\nUniversity of California, Berkeley '","b'\n12/21/2014, 02/19/2015 '",b'\n            04/30/2015          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n12/01/2014 ',b'\n            04/30/2015          '
b'\nCounty of Los Angeles ',b'\n            n/a          ',b'\n            04/29/2015          '
"b'\nConsolidated Tribal Health Project, Inc.  '",b'\n04/28/2015 ',b'\n            04/28/2015          '
"b'\nCompass Group USA, Inc. '",b'\n02/02/2015 ',b'\n            04/27/2015          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n04/14/2014 ',b'\n            04/27/2015          '
"b'\nInternational Coffee & Tea, LLC '",b'\n01/27/2015 ',b'\n            04/27/2015          '
b'\nStater Bros. Markets ',"b'\n03/05/2015, 03/29/2015 '",b'\n            04/24/2015          '
b'\nAT&T ',b'\n            n/a          ',b'\n            04/23/2015          '
"b'\nFreedom Smokes, Inc. '",b'\n02/11/2015 ',b'\n            04/22/2015          '
b'\nEpic Foods dba Bistro Burger (Market Street) ',b'\n01/04/2015 ',b'\n            04/21/2015          '
b'\nAbbott Laboratories ',b'\n12/01/2014 ',b'\n            04/17/2015          '
b'\nAmerican Sleep Medicine ',b'\n            n/a          ',b'\n            04/16/2015          '
"b'\nHomebridge, Inc. '",b'\n01/24/2015 ',b'\n            04/13/2015          '
b'\nStanislaus Surgical Hospital ',b'\n04/05/2015 ',b'\n            04/13/2015          '
b'\nKellogg & Andelson Global Management ',b'\n            n/a          ',b'\n            04/10/2015          '
b'\nHSBC Finance Corporation on behalf of its subsidiaries ',b'\n            n/a          ',b'\n            04/10/2015          '
"b'\nUniversity of California, Riverside '",b'\n03/13/2015 ',b'\n            04/10/2015          '
b'\nCement Masons Southern California Health and Welfare Trust Fund ',b'\n            n/a          ',b'\n            04/08/2015          '
b'\nIntuit  ',"b'\n02/01/2014, 02/27/2015 '",b'\n            04/06/2015          '
b'\nTulare County Health & Human Services Agency ',b'\n03/19/2015 ',b'\n            04/06/2015          '
"b'\nSRI, INC. '","b'\n12/01/2014, 03/13/2015 '",b'\n            04/02/2015          '
b'\nAuburn University ',b'\n09/01/2014 ',b'\n            04/02/2015          '
b'\nCalifornia Department of Business Oversight ',b'\n01/05/2015 ',b'\n            04/02/2015          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            04/01/2015          '
b'\nWeyerhaeuser Company ',b'\n05/01/2014 ',b'\n            03/31/2015          '
"b'\nNite Ize, Inc. '",b'\n03/03/2015 ',b'\n            03/27/2015          '
b'\nAdvantage Consolidated LLC ',b'\n02/23/2015 ',b'\n            03/23/2015          '
b'\nOneStopParking ',"b'\n08/01/2014, 12/31/2014 '",b'\n            03/17/2015          '
"b'\nSVC-West, LLC '",b'\n01/06/2015 ',b'\n            03/17/2015          '
"b'\nPremera Blue Cross, including Academe, Inc. (formerly known as LifeWise Health Plan of Arizona, Inc.), Connexion Insurance Solutions, Inc., Life Wise Health Plan of Washington, Life Wise Health Plan of Oregon, Inc., LifeWise Assurance Company, Vivacity '",b'\n            n/a          ',b'\n            03/17/2015          '
b'\nApple America Group LLC  ',b'\n03/03/2015 ',b'\n            03/16/2015          '
"b'\nMark Riley, Inc., abd E. K. and Company '",b'\n01/19/2015 ',b'\n            03/16/2015          '
b'\nProvidence Saint Joseph Medical Center ',b'\n11/01/2014 ',b'\n            03/11/2015          '
b'\nThe Painted Turtle ',b'\n            n/a          ',b'\n            03/11/2015          '
"b'\nBistro Burger, Inc. '","b'\n10/02/2014, 12/04/2014 '",b'\n            03/09/2015          '
b'\nValley Community Healthcare ',b'\n02/24/2015 ',b'\n            03/09/2015          '
"b'\nZiprick & Cramer, LLP '",b'\n01/25/2015 ',b'\n            03/02/2015          '
b'\nPerspectives ',b'\n09/08/2014 ',b'\n            03/02/2015          '
"b'\nToys ""R"" Us-Delaware, Inc. '","b'\n01/28/2015, 01/29/2015, 01/30/2015 '",b'\n            02/27/2015          '
b'\nPiedmont Advantage Credit Union ',b'\n01/31/2015 ',b'\n            02/27/2015          '
"b'\nUber Technologies, Inc. '",b'\n05/13/2014 ',b'\n            02/27/2015          '
b'\nBulk Reef Supply ',b'\n07/30/2014 ',b'\n            02/27/2015          '
"b'\nCP Franchising, LLC '",b'\n01/30/2015 ',b'\n            02/25/2015          '
"b'\nLime Crime, Inc. '",b'\n10/04/2014 ',b'\n            02/24/2015          '
"b'\nAmerican Apparel, Inc '",b'\n12/10/2014 ',b'\n            02/20/2015          '
b'\nCathrine Steinborn DDS ',b'\n01/05/2015 ',b'\n            02/20/2015          '
b'\nBig Fish Games ',b'\n            n/a          ',b'\n            02/13/2015          '
b'\nLiberty Tax Service ',b'\n02/01/2015 ',b'\n            02/13/2015          '
"b'\nAnthem, Inc. '",b'\n            n/a          ',b'\n            02/13/2015          '
"b'\nPackers Sanitation Services, Inc. Ltd. '",b'\n02/05/2015 ',b'\n            02/10/2015          '
b'\nKings County Office of Education ',b'\n            n/a          ',b'\n            02/09/2015          '
"b'\nPhoenix House Foundation, Inc. and its affiliates  '",b'\n12/19/2014 ',b'\n            02/05/2015          '
"b'\nCICS Employment Services, Inc. '",b'\n            n/a          ',b'\n            01/30/2015          '
b'\nRiverside County Regional Medical Center (RCRMC) ',b'\n11/26/2014 ',b'\n            01/29/2015          '
b'\nCalifornia Pacific Medical Center  ',"b'\n10/15/2013, 10/15/2014 '",b'\n            01/23/2015          '
b'\nBarbecue Renew Inc. ',"b'\n01/19/2014, 04/01/2014, 07/05/2014 '",b'\n            01/16/2015          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            01/15/2015          '
b'\nOppenheimerFunds ',b'\n04/24/2014 ',b'\n            01/15/2015          '
"b'\nAmerican Airlines, Inc. '",b'\n12/30/2014 ',b'\n            01/15/2015          '
"b'\nPiech Sales Company, LLC dba ValuePetSupplies.com '","b'\n11/25/2014, 12/29/2014 '",b'\n            01/14/2015          '
"b""\nPark 'N Fly """,b'\n            n/a          ',b'\n            01/13/2015          '
"b'\nLaw Offices of David A. Krausz, P.C. '",b'\n01/05/2015 ',b'\n            01/12/2015          '
b'\nInland Empire Health Plan (IEHP) ',b'\n10/28/2014 ',b'\n            01/09/2015          '
b'\nUnited Airlines ',b'\n            n/a          ',b'\n            01/06/2015          '
"b'\nFast Forward Academy, LLC '",b'\n            n/a          ',b'\n            01/02/2015          '
b'\nLa Jolla Group ',"b'\n11/30/2014, 12/03/2014 '",b'\n            12/31/2014          '
"b'\nPhysicians Skin and Weight Centers, Inc. '",b'\n11/04/2014 ',b'\n            12/26/2014          '
"b'\nEmpi, Inc./DJO, LLC '",b'\n11/07/2014 ',b'\n            12/26/2014          '
b'\nLokai Holdings LLC ',b'\n06/27/2014 ',b'\n            12/24/2014          '
"b'\nCorday Productions, Inc. '",b'\n            n/a          ',b'\n            12/24/2014          '
b'\nPublic Architecture ',b'\n            n/a          ',b'\n            12/23/2014          '
"b'\nRob Kirby, CPA '",b'\n12/19/2014 ',b'\n            12/23/2014          '
b'\nDutchWear ',b'\n11/07/2014 ',b'\n            12/23/2014          '
b'\nNvidia Corporation ',b'\n10/08/2014 ',b'\n            12/22/2014          '
b'\nQuest Diagnostics ',b'\n11/17/2014 ',b'\n            12/19/2014          '
b'\nMercy Medical Center Redding Oncology Clinic  ',b'\n06/01/2014 ',b'\n            12/19/2014          '
"b'\nStaples, Inc. '",b'\n08/10/2014 ',b'\n            12/19/2014          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n            n/a          ',b'\n            12/19/2014          '
"b'\nAmerican Express Travel Related Services Company, Inc and /or its Affiliates (\xe2\x80\x9cAXP\xe2\x80\x9d) '",b'\n07/11/2011 ',b'\n            12/19/2014          '
"b'\nIDParts, LLC '",b'\n            n/a          ',b'\n            12/19/2014          '
b'\nHarmonic Inc. ',b'\n10/17/2014 ',b'\n            12/18/2014          '
b'\nPoint Loma Nazarene University ',"b'\n10/07/2014, 10/20/2014 '",b'\n            12/15/2014          '
"b'\nUniversity of California, Berkeley '",b'\n09/16/2014 ',b'\n            12/12/2014          '
"b'\nAcosta, Inc. and its subsidiaries, including Mosaic Sales Solutions US Operating Co. LLC  '",b'\n11/10/2014 ',b'\n            12/12/2014          '
b'\nABM Parking Services ',"b'\n09/29/2014, 11/18/2014 '",b'\n            12/12/2014          '
"b'\nSony Pictures Entertainment Inc. (""SPE) '",b'\n11/24/2014 ',b'\n            12/11/2014          '
b'\nEMCOR Services Mesa Energy Systems ',"b'\n11/25/2014, 11/24/2014 '",b'\n            12/11/2014          '
"b'\nbebe stores, inc. '",b'\n11/08/2014 ',b'\n            12/05/2014          '
